2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21
The Croods: A New Age,The Croods: A New Age,Fatale,News of the World,News of the World,News of the World,News of the World,Wonder Woman 1984,Wonder Woman 1984,Minari,The Mauritanian,The Mauritanian,Minari,The Father,Chaos Walking,Chaos Walking,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,Wrath of Man,Wrath of Man,Wrath of Man,Wrath of Man,Nobody,Nobody,Nobody,Wrath of Man,The Forever Purge,F9,F9,F9,Stillwater,Respect,Don't Breathe 2,Don't Breathe 2,Candyman,F9,Free Guy,Free Guy,Free Guy,Free Guy,Stillwater,Free Guy,No Time to Die,No Time to Die,Venom: Let There Be Carnage,Venom: Let There Be Carnage,The Grinch,Venom: Let There Be Carnage,No Time to Die,Venom: Let There Be Carnage,Sing 2,Sing 2,Sing 2,Sing 2,Ghostbusters: Afterlife,Ghostbusters: Afterlife,Free Guy,American Underdog,Sing 2,Dog,Spider-Man: No Way Home,Spider-Man: No Way Home,Spider-Man: No Way Home,Spider-Man: No Way Home,Spider-Man: No Way Home,Spider-Man: No Way Home,Uncharted,Spider-Man: No Way Home,Uncharted,Uncharted,The Lost City,The Lost City,Uncharted,Morbius,Morbius,Morbius,Everything Everywhere All at Once,Jurassic World Dominion,Jurassic World Dominion,Jurassic World Dominion,Minions: The Rise of Gru,Elvis,Elvis,Top Gun: Maverick,Top Gun: Maverick,Top Gun: Maverick,Where the Crawdads Sing,Top Gun: Maverick,Top Gun: Maverick,Top Gun: Maverick,Top Gun: Maverick,Bullet Train,Top Gun: Maverick,Top Gun: Maverick,Top Gun: Maverick,Top Gun: Maverick,Black Adam,Top Gun: Maverick,Top Gun: Maverick,The Grinch,The Grinch,Knives Out,Knives Out,Ticket to Paradise,Ticket to Paradise,M3GAN,Plane,Ticket to Paradise,Ticket to Paradise,Knock at the Cabin,A Man Called Otto,The Fabelmans,The Whale,A Man Called Otto,Avatar: The Way of Water,Avatar: The Way of Water,Avatar: The Way of Water,Avatar: The Way of Water,Avatar: The Way of Water,Dungeons &amp; Dragons: Honor Among Thieves,Guy Ritchie's The Covenant,The Super Mario Bros. Movie
Greenland,Greenland,The Croods: A New Age,The Croods: A New Age,The Croods: A New Age,The Croods: A New Age,Let Him Go,Barb and Star Go to Vista Del Mar,Barb and Star Go to Vista Del Mar,Wonder Woman 1984,Land,Land,Promising Young Woman,Minari,Raya and the Last Dragon,Raya and the Last Dragon,The Courier,Tom &amp; Jerry,Tom &amp; Jerry,The Courier,The Courier,Godzilla vs. Kong,A Quiet Place,Spiral: From the Book of Saw,Spiral: From the Book of Saw,A Quiet Place,Wrath of Man,Those Who Wish Me Dead,Wrath of Man,A Quiet Place Part II,Wrath of Man,A Quiet Place Part II,The Forever Purge,Black Widow,The Green Knight,Stillwater,Jungle Cruise,Stillwater,Don't Breathe 2,Candyman,Venom,F9,Copshop,The Protégé,Free Guy,Dangerous,Free Guy,Free Guy,No Time to Die,The Grinch,Venom: Let There Be Carnage,The Grinch,Venom: Let There Be Carnage,No Time to Die,Ghostbusters: Afterlife,Ghostbusters: Afterlife,Ghostbusters: Afterlife,The 355,American Underdog,Sing 2,Sing 2,Free Guy,Blacklight,Sing 2,Spider-Man: No Way Home,Spider-Man: No Way Home,Sing 2,Sing 2,Sing 2,Jackass Forever,Spider-Man: No Way Home,Uncharted,Dog,Dog,Uncharted,Uncharted,The Lost City,Father Stu,The Unbearable Weight of Massive Talent,Father Stu,The Lost City,Jurassic World Dominion,Jurassic World Dominion,The Black Phone,Jurassic World Dominion,Elvis,Minions: The Rise of Gru,Nope,Nope,Where the Crawdads Sing,Top Gun: Maverick,Where the Crawdads Sing,Where the Crawdads Sing,Where the Crawdads Sing,Where the Crawdads Sing,Top Gun: Maverick,Bullet Train,Bullet Train,Ticket to Paradise,Bullet Train,Top Gun: Maverick,The Grinch,Black Adam,Top Gun: Maverick,Top Gun: Maverick,Top Gun: Maverick,Top Gun: Maverick,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,Ticket to Paradise,M3GAN,Plane,The Fabelmans,The Fabelmans,The Fabelmans,80 for Brady,A Man Called Otto,The Whale,Creed III,Plane,Missing,Ant-Man and the Wasp: Quantumania,Jesus Revolution,Dungeons &amp; Dragons: Honor Among Thieves,Cocaine Bear,The Super Mario Bros. Movie
National Lampoon's Christmas Vacation,Songbird,Greenland,Greenland,Greenland,Songbird,Songbird,Greenland,Greenland,The Croods: A New Age,Minari,Minari,The Mauritanian,News of the World,Minari,Minari,Tom &amp; Jerry,The Courier,The Courier,Tom &amp; Jerry,Nomadland,A Quiet Place,Godzilla vs. Kong,A Quiet Place,A Quiet Place,Nobody,Spiral: From the Book of Saw,Wrath of Man,Those Who Wish Me Dead,Nobody,The Conjuring: The Devil Made Me Do It,The Forever Purge,Wrath of Man,The Forever Purge,F9,F9,Stillwater,Jungle Cruise,The Suicide Squad,The Protégé,F9,Venom,F9,F9,A Quiet Place Part II,Stillwater,Stillwater,Dangerous,The Grinch,Free Guy,The Grinch,Spider-Man: Far from Home,Resident Evil: Welcome to Raccoon City,Spider-Man: Far from Home,Venom: Let There Be Carnage,Venom: Let There Be Carnage,Venom: Let There Be Carnage,Ghostbusters: Afterlife,Sing 2,American Underdog,Ghostbusters: Afterlife,Ghostbusters: Afterlife,Scream,Blacklight,Dog,Dog,The Contractor,Dog,The Ten Commandments,The Batman,Moonfall,Sing 2,Spider-Man: No Way Home,Spider-Man: No Way Home,Dog,Dog,Jurassic World: Fallen Kingdom,The Lost City,Father Stu,Uncharted,Dog,The Black Phone,The Black Phone,Everything Everywhere All at Once,Minions: The Rise of Gru,Minions: The Rise of Gru,Elvis,Elvis,Minions: The Rise of Gru,The Black Phone,Jurassic World Dominion,The Black Phone,Bullet Train,Bullet Train,The Black Phone,Where the Crawdads Sing,Nope,Nope,Bullet Train,Ticket to Paradise,Black Adam,Black Adam,Black Adam,The Woman King,Home Alone,The Woman King,The Woman King,Top Gun: Maverick,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,Ticket to Paradise,M3GAN,Plane,Ticket to Paradise,Knock at the Cabin,A Man Called Otto,Cocaine Bear,Cocaine Bear,Plane,65,A Man Called Otto,A Man Called Otto,A Man Called Otto,Avatar: The Way of Water,Dungeons &amp; Dragons: Honor Among Thieves,65
Songbird,Love and Monsters,Love and Monsters,Love and Monsters,Promising Young Woman,Greenland,Greenland,The Croods: A New Age,News of the World,Barb and Star Go to Vista Del Mar,The Croods: A New Age,The Croods: A New Age,The Croods: A New Age,The Croods: A New Age,News of the World,News of the World,Chaos Walking,The Father,Nomadland,The Croods: A New Age,News of the World,Raya and the Last Dragon,A Quiet Place,Game Night,Nobody,Spiral: From the Book of Saw,A Quiet Place,Spiral: From the Book of Saw,A Quiet Place,Wrath of Man,A Quiet Place Part II,Wrath of Man,A Quiet Place Part II,Field of Dreams,Snake Eyes: G.I. Joe Origins,The Green Knight,Respect,A Quiet Place Part II,Stillwater,Don't Breathe 2,Candyman,Candyman,Black Widow,Black Widow,Don't Breathe 2,Free Guy,Dangerous,Last Night in Soho,Dangerous,Dune,No Time to Die,The Grinch,The Grinch,The Amazing Spider-Man,No Time to Die,No Time to Die,King Richard,Spider-Man: Far from Home,Encanto,Encanto,Kingsman: The Secret Service,Sing 2,Ghostbusters: Afterlife,Scream,Sing 2,Sing 2,Dog,Venom: Let There Be Carnage,Spider-Man: No Way Home,Sing 2,Jackass Forever,Jackass Forever,The Northman,Morbius,Sonic the Hedgehog 2,Spider-Man: No Way Home,Sonic the Hedgehog 2,Uncharted,Uncharted,The Unbearable Weight of Massive Talent,Father Stu,Everything Everywhere All at Once,Everything Everywhere All at Once,The Bad Guys,The Black Phone,Jurassic World Dominion,Jurassic World Dominion,DC League of Super-Pets,DC League of Super-Pets,Nope,The Black Phone,Top Gun: Maverick,Top Gun: Maverick,Minions: The Rise of Gru,Bullet Train,Fall,Where the Crawdads Sing,Where the Crawdads Sing,Nope,Nope,Bullet Train,Black Adam,Home Alone,The Grinch,Violent Night,Fall,The Grinch,Knives Out,Top Gun: Maverick,Top Gun: Maverick,Plane,"Alice, Darling",M3GAN,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,The Whale,Cocaine Bear,Puss in Boots: The Last Wish,Creed III,A Man Called Otto,Plane,Plane,Plane,The Pope's Exorcist,Dungeons &amp; Dragons: Honor Among Thieves,Guy Ritchie's The Covenant
The Grinch,Freaky,Songbird,Songbird,Let Him Go,Sounder,John Wick: Chapter 3 – Parabellum,News of the World,The Croods: A New Age,Greenland,Monster Hunter,Monster Hunter,Land,Promising Young Woman,The Little Things,Promising Young Woman,Raya and the Last Dragon,Promising Young Woman,Promising Young Woman,Nomadland,Promising Young Woman,The Croods: A New Age,Nobody,Godzilla vs. Kong,Mortal Kombat,The Hitman's Bodyguard,Mortal Kombat,A Quiet Place,The Hitman's Bodyguard,Those Who Wish Me Dead,Nobody,The Conjuring: The Devil Made Me Do It,Roadrunner: A Film About Anthony Bourdain,A Quiet Place Part II,Snake Eyes: G.I. Joe Origins,Snake Eyes: G.I. Joe Origins,F9,Respect,Jungle Cruise,Venom,Don't Breathe 2,SPECTRE,Candyman,Old,Old,F9,F9,Old Henry,Free Guy,No Time to Die,Free Guy,No Time to Die,Die Hard,Free Guy,Free Guy,A Journal for Jordan,Free Guy,Venom: Let There Be Carnage,House of Gucci,The 355,Spider-Man: Far from Home,House of Gucci,Spider-Man: Far from Home,Spider-Man: Far from Home,Spider-Man: Far from Home,Blacklight,Spider-Man: No Way Home,Spider-Man: No Way Home,Venom: Let There Be Carnage,The Batman,Sing 2,Moonfall,The Lost City,The Bad Guys,Spider-Man: No Way Home,The Contractor,Everything Everywhere All at Once,Sonic the Hedgehog 2,The Lost City,The Lost City,Morbius,Uncharted,Uncharted,Jurassic World Dominion,Everything Everywhere All at Once,Minions: The Rise of Gru,Everything Everywhere All at Once,Minions: The Rise of Gru,Everything Everywhere All at Once,Minions: The Rise of Gru,Jurassic World Dominion,Jurassic World Dominion,Hocus Pocus,Jeepers Creepers: Reborn,Minions: The Rise of Gru,Minions: The Rise of Gru,Fall,Fall,Ticket to Paradise,The Grinch,Ticket to Paradise,Bullet Train,Smile,Home Alone,Die Hard,Violent Night,Fall,Puss in Boots: The Last Wish,The Menu,M3GAN,Top Gun: Maverick,Top Gun: Maverick,"Alice, Darling",Plane,Women Talking,Top Gun: Maverick,Everything Everywhere All at Once,M3GAN,A Man Called Otto,Creed III,Creed III,Creed III,Ant-Man and the Wasp: Quantumania,Renfield,Evil Dead Rise,Cocaine Bear
Let Him Go,Let Him Go,The Karate Kid,Promising Young Woman,Songbird,The Big Short,Promising Young Woman,Let Him Go,Monster Hunter,Monster Hunter,Barb and Star Go to Vista Del Mar,Barb and Star Go to Vista Del Mar,Monster Hunter,The Mauritanian,Judas and the Black Messiah,Judas and the Black Messiah,Promising Young Woman,Minari,Chaos Walking,Promising Young Woman,Voyagers,Minari,Chaos Walking,A Quiet Place,Godzilla vs. Kong,Mortal Kombat,The Hitman's Bodyguard,The Hitman's Bodyguard,Mamma Mia!,A Quiet Place,Spiral: From the Book of Saw,Nobody,The Conjuring: The Devil Made Me Do It,Wrath of Man,Wrath of Man,A Quiet Place Part II,A Quiet Place Part II,The Green Knight,A Quiet Place Part II,A Quiet Place Part II,The Protégé,Old,Halloween,A Quiet Place Part II,F9,Old,PAW Patrol: The Movie,Stillwater,The Boss Baby: Family Business,Dangerous,Dangerous,Dangerous,Spider-Man: Far from Home,Resident Evil: Welcome to Raccoon City,King Richard,Free Guy,No Time to Die,Spider-Man: Homecoming,The 355,Spider-Man: Far from Home,Old Henry,Kingsman: The Secret Service,American Underdog,Ghostbusters: Afterlife,Blacklight,Spider-Man: Far from Home,Venom: Let There Be Carnage,The Contractor,The Contractor,The Devil You Know,The Batman,The Devil You Know,The Bad Guys,The Northman,Morbius,Sonic the Hedgehog 2,Jurassic World,Dog,Spider-Man: No Way Home,Sonic the Hedgehog 2,Uncharted,The Lost City,Morbius,Uncharted,The Lost City,Everything Everywhere All at Once,Minions: The Rise of Gru,Everything Everywhere All at Once,Jurassic World Dominion,Beast,Nope,Jurassic World Dominion,The Black Phone,The Black Phone,Halloween,The Black Phone,Barbarian,Minions: The Rise of Gru,Fall,Fall,Nope,Ticket to Paradise,Poker Face,The Holiday,The Grinch,The Fabelmans,Violent Night,The Woman King,The Woman King,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,Top Gun: Maverick,The Old Way,The Old Way,Puss in Boots: The Last Wish,Women Talking,The Ritual Killer,The Whale,65,Shazam! Fury of the Gods,80 for Brady,65,Jesus Revolution,Avatar: The Way of Water,Evil Dead Rise
A Christmas Carol,John Wick: Chapter 3 – Parabellum,John Wick: Chapter 3 – Parabellum,The Karate Kid,Love and Monsters,Promising Young Woman,Interstellar,Freaky,Freaky,The Croods: A New Age,Greenland,Monster Hunter,Greenland,Land,The Father,The Father,The Croods: A New Age,Chaos Walking,Raya and the Last Dragon,Voyagers,Interstellar,Voyagers,A Quiet Place,Chaos Walking,A Quiet Place,The Courier,The Unholy,Those Who Wish Me Dead,Mortal Kombat,Spiral: From the Book of Saw,The Conjuring: The Devil Made Me Do It,A Quiet Place Part II,News of the World,Roadrunner: A Film About Anthony Bourdain,A Quiet Place Part II,Black Widow,The Green Knight,9/11,Respect,Respect,Snake Eyes: G.I. Joe Origins,The Protégé,Venom,Candyman,Halloweentown,Don't Breathe 2,Rocky IV,Jungle Cruise,The Grinch,Dune,Dune,Free Guy,The Amazing Spider-Man,Spider-Man: Homecoming,The Amazing Spider-Man,King Richard,The Amazing Spider-Man,Sing,Spider-Man: Far from Home,Free Guy,Old,Spider-Man: Far from Home,House of Gucci,Cyrano,Old,Old,No Time to Die,Sonic the Hedgehog,No Time to Die,No Time to Die,No Time to Die,Pirates of the Caribbean: The Curse of the Black Pearl,The Northman,Moonfall,The Bad Guys,Morbius,Spider-Man: No Way Home,The Contractor,Sonic the Hedgehog 2,Dog,The Unbearable Weight of Massive Talent,Morbius,Dog,Downton Abbey: A New Era,The Bad Guys,The Black Phone,The Bad Guys,Elvis,DC League of Super-Pets,Everything Everywhere All at Once,Minions: The Rise of Gru,Nope,Jurassic World Dominion,Jurassic World Dominion,Jeepers Creepers: Reborn,Bodies Bodies Bodies,Minions: The Rise of Gru,Top Gun: Maverick,Where the Crawdads Sing,Three Thousand Years of Longing,The Grinch,Smile,Nope,Smile,The Holiday,Mindcage,Mindcage,TÁR,Knives Out,TÁR,M3GAN,Devotion,Puss in Boots: The Last Wish,Top Gun: Maverick,Magic Mike's Last Dance,TÁR,The Fabelmans,John Wick,Puss in Boots: The Last Wish,The Whale,The Fabelmans,The Whale,80 for Brady,Renfield,The Pope's Exorcist,Sisu
The Grinch,Game Night,Love and Monsters,Fatale,The Karate Kid,John Wick: Chapter 3 – Parabellum,Groundhog Day,Songbird,Let Him Go,News of the World,Monster Hunter,Greenland,Divergent,Greenland,The Croods: A New Age,The Croods: A New Age,News of the World,Raya and the Last Dragon,The Croods: A New Age,News of the World,The Croods: A New Age,The Father,Raya and the Last Dragon,The Courier,The Courier,A Quiet Place,Voyagers,Mortal Kombat,The House Next Door: Meet the Blacks 2,Mamma Mia!,Zola,Spiral: From the Book of Saw,A Quiet Place Part II,The Conjuring: The Devil Made Me Do It,Black Widow,Nobody,Snake Eyes: G.I. Joe Origins,F9,Black Widow,Stillwater,Respect,Don't Breathe 2,The Protégé,Copshop,Hocus Pocus,Black Widow,Nobody,The Many Saints of Newark,F9,The Grinch,Dune,Spider-Man: Homecoming,Free Guy,F9,Spider-Man: Far from Home,Spider-Man: Far from Home,Spider-Man: Far from Home,F9,Venom: Let There Be Carnage,No Time to Die,Encanto,Stillwater,Old,Old,Venom: Let There Be Carnage,The Eyes of Tammy Faye,The Contractor,No Time to Die,Dog,The Contractor,The Devil You Know,Spider-Man: Far from Home,Blacklight,The Lost City,The Contractor,The Bad Guys,Dog,Jurassic World: Fallen Kingdom,Dog,Spider-Man: No Way Home,Ambulance,The Black Phone,The Lost City,The Lost City,Downton Abbey: A New Era,The Bad Guys,Jurassic World Dominion,Jurassic World Dominion,Top Gun,Thor: Love and Thunder,Beast,Minions: The Rise of Gru,Thor: Love and Thunder,Jurassic World Dominion,Jurassic World Dominion,Jurassic World Dominion,The Black Phone,Don't Worry Darling,Minions: The Rise of Gru,Ticket to Paradise,Knives Out,Home Alone,Amsterdam,Poker Face,Violent Night,Smile,Smile,Prey for the Devil,Prey for the Devil,The Woman King,Black Panther: Wakanda Forever,Plane,Devotion,M3GAN,The Whale,The Old Way,80 for Brady,Cocaine Bear,Cocaine Bear,The Unbearable Weight of Massive Talent,The Whale,Puss in Boots: The Last Wish,Creed III,The Pope's Exorcist,Jesus Revolution,Avatar: The Way of Water
Love and Monsters,Love and Monsters,Interstellar,John Wick: Chapter 3 – Parabellum,Game Night,Love and Monsters,Game Night,The Silence of the Lambs,Songbird,Let Him Go,Fatale,Divergent,Monster Hunter,Monster Hunter,Promising Young Woman,The Mauritanian,The Father,The Croods: A New Age,Voyagers,Raya and the Last Dragon,Chaos Walking,John Wick: Chapter 3 – Parabellum,Minari,Nobody,Believe Me: The Abduction of Lisa McVey,Chaos Walking,Spirit Untamed,Mamma Mia!,Escape Room,Escape Room,Those Who Wish Me Dead,The Conjuring: The Devil Made Me Do It,Nobody,Nobody,The Forever Purge,The Forever Purge,Black Widow,Wrath of Man,The Suicide Squad,Jungle Cruise,A Quiet Place Part II,A Quiet Place Part II,SPECTRE,Old Henry,The Protégé,Cry Macho,Old Henry,F9,Stillwater,Belfast,Spider-Man: Far from Home,The Amazing Spider-Man,The Grinch,The Amazing Spider-Man 2,Resident Evil: Welcome to Raccoon City,The Amazing Spider-Man,Sing,Free Guy,Sing,Despicable Me 3,F9,Old,Encanto,House of Gucci,Spider-Man: Homecoming,Ghostbusters: Afterlife,Jackass Forever,Spider-Man: Far from Home,Spider-Man: Far from Home,Spider-Man: No Way Home,The Batman,The Batman,Moonfall,Blacklight,Blacklight,Fantastic Beasts: The Secrets of Dumbledore,The Contractor,Spider-Man: No Way Home,The Contractor,The Contractor,The Northman,Dog,Father Stu,Morbius,Jurassic World Dominion,Downton Abbey: A New Era,Downton Abbey: A New Era,Jurassic World Dominion,The Bad Guys,Downton Abbey: A New Era,Everything Everywhere All at Once,Everything Everywhere All at Once,Jurassic World Dominion,Top Gun: Maverick,Top Gun: Maverick,Everything Everywhere All at Once,Don't Worry Darling,Beast,The Grinch,Where the Crawdads Sing,The Woman King,Nope,She Said,Nope,Knives Out,Top Gun: Maverick,Top Gun: Maverick,Fall,TÁR,The Menu,Devotion,The Woman King,Puss in Boots: The Last Wish,The Whale,Ticket to Paradise,Knock at the Cabin,Top Gun: Maverick,Operation Fortune: Ruse de Guerre,Missing,Shazam! Fury of the Gods,Shazam! Fury of the Gods,65,Magic Mike's Last Dance,A Man Called Otto,Renfield,Operation Fortune: Ruse de Guerre
Prancer,The Craft: Legacy,Let Him Go,The Craft: Legacy,John Wick: Chapter 3 – Parabellum,Let Him Go,Love and Monsters,Interstellar,Game Night,Freaky,Wonder Woman 1984,Wonder Woman 1984,Game Night,Lone Survivor,The Mauritanian,Land,Judas and the Black Messiah,News of the World,The Father,Minari,The Father,Chaos Walking,The Croods: A New Age,John Wick: Chapter 3 – Parabellum,The Hitman's Bodyguard,Voyagers,A Quiet Place,The Purge: Election Year,The Purge: Election Year,Jurassic World: Fallen Kingdom,,,,,,,,,The Green Knight,Black Widow,Venom,PAW Patrol: The Movie,Free Guy,PAW Patrol: The Movie,Black Widow,PAW Patrol: The Movie,Old,The Grinch,Old Henry,Spider-Man: Far from Home,No Time to Die,Venom: Let There Be Carnage,Spider-Man: Homecoming,Sing,Venom: Let There Be Carnage,Sing,Eternals,The Matrix Resurrections,Free Guy,House of Gucci,Despicable Me 3,Encanto,Kingsman: The Secret Service,Spider-Man: Homecoming,Ghostbusters: Afterlife,Belfast,Blacklight,Blacklight,Sonic the Hedgehog,Spider-Man: Far from Home,Death on the Nile,No Time to Die,The Bad Guys,The Bad Guys,Top Gun,Sing 2,The Unbearable Weight of Massive Talent,Everything Everywhere All at Once,Jurassic World: Fallen Kingdom,Ambulance,The Contractor,Father Stu,The Unbearable Weight of Massive Talent,The Northman,Uncharted,The Northman,The Black Phone,DC League of Super-Pets,Father Stu,DC League of Super-Pets,DC League of Super-Pets,X,Fall,Hocus Pocus,Jurassic World Dominion,Top Gun: Maverick,Scream,The Invitation,Beast,Minions: The Rise of Gru,Fall,Fall,Jurassic World Dominion,Die Hard,The Woman King,"Lyle, Lyle, Crocodile",Violent Night,The Old Way,Fall,Knives Out,Till,Puss in Boots: The Last Wish,Plane,"Alice, Darling",Plane,Everything Everywhere All at Once,The Old Way,John Wick: Chapter 3 – Parabellum,M3GAN,Shazam! Fury of the Gods,I Wanna Dance With Somebody,Shazam! Fury of the Gods,The Ritual Killer,Plane,Evil Dead Rise,The Pope's Exorcist
