title,imdb_id
The Karate Kid,tt0087538
Roadrunner: A Film About Anthony Bourdain,tt14512538
Evil Dead Rise,tt13345606
Guy Ritchie's The Covenant,tt4873118
The Courier,tt8368512
The Whale,tt13833688
Devotion,tt7693316
Sing,tt6467266
Escape Room,tt5886046
I Wanna Dance With Somebody,tt12193804
Downton Abbey: A New Era,tt11703710
Three Thousand Years of Longing,tt9198364
Barbarian,tt15791034
SPECTRE,tt2379713
Spiral: From the Book of Saw,tt10342730
Cry Macho,tt1924245
The Contractor,tt10323676
Snake Eyes: G.I. Joe Origins,tt8404256
Respect,tt2452150
The Green Knight,tt9243804
The Big Short,tt1596363
The Invitation,tt12873562
The Grinch,tt2709692
The Old Way,tt8593824
Jurassic World Dominion,tt8041270
The Amazing Spider-Man,tt0948470
The Menu,tt9764362
Barb and Star Go to Vista Del Mar,tt3797512
The Hitman's Bodyguard,tt1959563
The Mauritanian,tt4761112
Halloween,tt0077651
Cyrano,tt12889404
Godzilla vs. Kong,tt5034838
Believe Me: The Abduction of Lisa McVey,tt9072202
Nobody,tt7888964
Game Night,tt2704998
Tom &amp; Jerry,tt1361336
Rocky IV,tt0089927
"Lyle, Lyle, Crocodile",tt14668630
Resident Evil: Welcome to Raccoon City,tt6920084
Jesus Revolution,tt10098448
John Wick,tt2911666
Free Guy,tt6264654
Missing,tt10855768
Zola,tt5439812
The Batman,tt1877830
Top Gun,tt0092099
Greenland,tt7737786
Sonic the Hedgehog,tt12412888
Last Night in Soho,tt9639470
Top Gun: Maverick,tt1745960
News of the World,tt6878306
Die Hard,tt0095016
Mindcage,tt14147224
Eternals,tt9032400
Bodies Bodies Bodies,tt8110652
Minions: The Rise of Gru,tt5113044
The Unbearable Weight of Massive Talent,tt11291274
Creed III,tt11145118
Elvis,tt3704428
Jungle Cruise,tt0870154
Venom: Let There Be Carnage,tt7097896
Home Alone,tt0099785
The Bad Guys,tt8115900
Mortal Kombat,tt0293429
80 for Brady,tt18079362
Operation Fortune: Ruse de Guerre,tt7985704
Don't Worry Darling,tt10731256
Nomadland,tt9770150
The Fabelmans,tt14208870
Copshop,tt5748448
Dungeons &amp; Dragons: Honor Among Thieves,tt2906216
Everything Everywhere All at Once,tt6710474
The Northman,tt11138512
Women Talking,tt13669038
Jackass Forever,tt11466222
Candyman,tt9347730
The Little Things,tt10016180
Old Henry,tt12731980
Dangerous,tt3876910
Moonfall,tt5834426
Magic Mike's Last Dance,tt16280138
The Protégé,tt6079772
Old,tt10954652
