2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21
Soul,Soul,Soul,Soul,Soul,Moana,Moana,Cinderella,Flora &amp; Ulysses,Flora &amp; Ulysses,Raya and the Last Dragon,Moana,Moana,Moana,Moana,Moana,Rio,Rio,22 vs. Earth,Moana,Moana,Moana,Moana,Raya and the Last Dragon,Raya and the Last Dragon,Luca,Luca,Luca,Luca,Luca,Luca,Luca,Luca,Luca,Luca,Luca,Cruella,Luca,Nona,Luca,Hocus Pocus,Black Widow,Black Widow,The Nightmare Before Christmas,Hocus Pocus,Hocus Pocus,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,Diary of a Wimpy Kid,Home Alone,Ron's Gone Wrong,Encanto,Encanto,Encanto,Eternals,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Turning Red,Turning Red,Turning Red,Turning Red,Turning Red,Turning Red,Turning Red,Turning Red,Turning Red,Turning Red,Chip 'n Dale: Rescue Rangers,Chip 'n Dale: Rescue Rangers,Encanto,Beyond Infinity: Buzz and the Journey to Lightyear,Encanto,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,Z-O-M-B-I-E-S 3,Z-O-M-B-I-E-S 3,Encanto,Lightyear,Lightyear,Lightyear,Lightyear,Lightyear,Thor: Love and Thunder,Thor: Love and Thunder,Thor: Love and Thunder,Hocus Pocus 2,Hocus Pocus 2,Hocus Pocus 2,Hocus Pocus 2,Hocus Pocus 2,Zootopia,Black Panther,Disenchanted,The Guardians of the Galaxy Holiday Special,Home Alone,Home Alone,Home Alone,Strange World,Strange World,Strange World,Strange World,Encanto,Encanto,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,Moana,Moana,Moana,Moana,Moana,Moana,Moana,Moana,Moana,Peter Pan &amp; Wendy,Moana,Spider-Man: Homecoming,Ant-Man and the Wasp: Quantumania
Home Alone,Frozen II,Moana,Moana,Moana,Soul,Soul,Moana,The Book of Life,The Book of Life,Moana,Raya and the Last Dragon,Raya and the Last Dragon,Raya and the Last Dragon,Frozen II,Frozen,Moana,Moana,Moana,Frozen II,Frozen II,Frozen II,Cruella,Us Again,Moana,Raya and the Last Dragon,Raya and the Last Dragon,Raya and the Last Dragon,"The Simpsons: The Good, the Bart, and the Loki",Moana,Moana,Moana,,,Moana,,Luca,Cruella,Moana,Cruella,Luca,Muppets Haunted Mansion,Hocus Pocus,Black Widow,The Nightmare Before Christmas,The Nightmare Before Christmas,Jungle Cruise,Jungle Cruise,Home Alone,Ice Age,Diary of a Wimpy Kid,Home Alone,Home Alone,Ron's Gone Wrong,Moana,Encanto,Eternals,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild,Moana,Moana,Free Guy,Free Guy,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Turning Red,Encanto,Toy Story,Encanto,Encanto,Encanto,Encanto,Encanto,Z-O-M-B-I-E-S 3,Encanto,Encanto,Encanto,Encanto,Encanto,Pinocchio,Pinocchio,Spies in Disguise,Hocus Pocus,Werewolf by Night,The Nightmare Before Christmas,The Nightmare Before Christmas,The Nightmare Before Christmas,Encanto,Zootopia,Home Alone,Disenchanted,Moana,Home Alone 2: Lost in New York,Avatar,Home Alone,Encanto,Encanto,Encanto,Strange World,Moana,Encanto,Encanto,Moana,Black Panther: Wakanda Forever,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Encanto,Spider-Man,Moana,Peter Pan &amp; Wendy,Venom,Moana
Mulan,Mulan,Frozen II,Frozen II,Frozen II,Frozen II,Frozen II,Frozen II,Moana,Myth: A Frozen Tale,Garfield: A Tail of Two Kitties,Frozen II,Frozen II,Gnomeo &amp; Juliet,Frozen,Frozen II,Frozen II,Frozen II,Soul,22 vs. Earth,Frozen,Frozen,Frozen,Moana,Frozen,Moana,Moana,Moana,Black Widow,,,,,,,,,Twenty Something,Luca,The Nightmare Before Christmas,LEGO Star Wars Terrifying Tales,Hocus Pocus,The Nightmare Before Christmas,Hocus Pocus,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,Coco,Ciao Alberto,Home Sweet Home Alone,Jungle Cruise,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,Moana,Ron's Gone Wrong,Moana,Moana,Eternals,Moana,The Ice Age Adventures of Buck Wild,Eternals,Moana,West Side Story,Embrace the Panda: Making Turning Red,Encanto,Encanto,Moana,Moana,Moana,The Simpsons: When Billie Met Lisa,Moana,Doctor Strange,Moana,Turning Red,Turning Red,Chip 'n Dale: Rescue Rangers,Turning Red,Beyond Infinity: Buzz and the Journey to Lightyear,Turning Red,Turning Red,Turning Red,Doctor Strange in the Multiverse of Madness,Moana,Moana,Toy Story,Moana,Moana,Moana,Moana,Welcome to the Club,Encanto,Pinocchio,The Nightmare Before Christmas,Hocus Pocus,Hocus Pocus,Encanto,Hocus Pocus,Coco,Encanto,Encanto,Home Alone,Encanto,The Santa Clause,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,Avatar,Avatar,Moana,Moana,Turning Red,Moana,Moana,Encanto,Encanto,Black Panther: Wakanda Forever,Miley Cyrus – Endless Summer Vacation (Backyard Sessions),Frozen,Zootopia,Toy Story,Zootopia,Toy Story,Encanto,Encanto,Encanto,Moana,Encanto
Home Alone 2: Lost in New York,Moana,Frozen,Frozen,Frozen,Epic,Upside-Down Magic,Soul,Frozen II,Cheaper by the Dozen,Frozen II,Frozen,Frozen,Frozen II,Raya and the Last Dragon,Raya and the Last Dragon,Frozen,Frozen,Frozen II,Frozen,Zootopia,Zootopia,Frozen II,Cruella,Frozen II,Soul,,,,,,,,,,,,Moana,Cruella,Moana,The Nightmare Before Christmas,The Nightmare Before Christmas,Muppets Haunted Mansion,Luca,Muppets Haunted Mansion,Luca,Home Sweet Home Alone,Home Alone,Home Sweet Home Alone,Home Alone,Home Alone 2: Lost in New York,Shang-Chi and the Legend of the Ten Rings,The Santa Clause,Shang-Chi and the Legend of the Ten Rings,Night at the Museum: Battle of the Smithsonian,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,Ice Age: Dawn of the Dinosaurs,Eternals,Raya and the Last Dragon,Raya and the Last Dragon,Raya and the Last Dragon,Moana,Moana,Cheaper by the Dozen,Cheaper by the Dozen,Better Nate Than Ever,Encanto,Luca,Moana,Luca,Moana,Sneakerella,Moana,Moana,Moana,Moana,Turning Red,Rise,Moana,Moana,Moana,Deadpool,Turning Red,Turning Red,Turning Red,Turning Red,Turning Red,Turning Red,Cars,Moana,Hocus Pocus,Thor: Love and Thunder,Encanto,Encanto,Hocus Pocus,Encanto,Moana,Home Alone,Enchanted,Avatar,The Guardians of the Galaxy Holiday Special,Night at the Museum: Kahmunrah Rises Again,Beauty and the Beast: A 30th Celebration,The Santa Clause,Encanto at the Hollywood Bowl,Moana,Turning Red,Turning Red,Strange World,Frozen,Frozen,Toy Story,Frozen,Frozen,Turning Red,Toy Story,Toy Story,Zootopia,Toy Story,Zootopia,The Amazing Spider-Man,Toy Story,Guardians of the Galaxy,Encanto,Spider-Man: Homecoming
Burrow,Onward,Mulan,Avengers: Endgame,Avengers: Endgame,Frozen,Frozen,Frozen,Frozen,Cheaper by the Dozen 2,Flora &amp; Ulysses,Zootopia,Avengers: Endgame,Frozen,Toy Story 4,Toy Story 4,Toy Story 4,Toy Story 4,Frozen,The Force Awakens from Its Nap,Big Hero 6,Big Hero 6,Zootopia,Frozen,Us Again,Coco,,,,,,,,,,,,Raya and the Last Dragon,Descendants: The Royal Wedding,Hocus Pocus,Moana,Luca,Luca,Moana,Luca,Moana,Marvel Studios' 2021 Disney+ Day Special,Ciao Alberto,Home Alone 2: Lost in New York,The Santa Clause,The Santa Clause,The Santa Clause,Far From the Tree,Avengers: Endgame,Shang-Chi and the Legend of the Ten Rings,Ron's Gone Wrong,Ron's Gone Wrong,Moana,Ice Age: Dawn of the Dinosaurs,Eternals,The Ice Age Adventures of Buck Wild,The Ice Age Adventures of Buck Wild,Diary of a Wimpy Kid: Dog Days,Free Guy,Moana,OLIVIA RODRIGO: driving home 2 u (a SOUR film),Encanto,Zootopia,Zootopia,Luca,Zootopia,Luca,Luca,Luca,Luca,Luca,Toy Story,Toy Story 4,Moana,Luca,Thor: Ragnarok,Turning Red,Turning Red,Doctor Strange in the Multiverse of Madness,Moana,Toy Story,Toy Story,Doc McStuffins: The Doc Is 10!,Toy Story,Encanto,Coco,Encanto,Encanto,The Peanuts Movie,Werewolf by Night,Moana,Alvin and the Chipmunks: The Squeakquel,Hocus Pocus 2,Moana,The Santa Clause,Home Alone 2: Lost in New York,Zootopia,The Guardians of the Galaxy Holiday Special,The Santa Clause,Avatar,Moana,Tangled,Avatar,Bao,Frozen,Turning Red,Toy Story,Frozen,Toy Story,Cars,Frozen,Turning Red,Cars,Prom Pact,Cars,Cars,Toy Story,Frozen,Toy Story,Toy Story,Toy Story
Frozen II,Frozen,Ferdinand,Mulan,Avengers: Age of Ultron,Toy Story 4,Avengers: Age of Ultron,Toy Story 4,Soul,Moana,Zootopia,Avengers: Endgame,Zootopia,Avengers: Endgame,Soul,Zootopia,Avengers: Endgame,Avengers: Endgame,Rio,Soul,Tangled,Tangled,Tangled,Frozen II,Cruella,Onward,,,,,,,,,,,,Frozen II,Coco,Coco,Cruella,Moana,Moana,Frozen,Moana,Black Widow,Pixar 2021 Disney+ Day Special,Moana,The Santa Clause,Moana,Ice Age,Diary of a Wimpy Kid,Arendelle Castle Yule Log: Cut Paper Edition,Te Deseo Lo Mejor,Like Mike,Avengers: Endgame,Raya and the Last Dragon,Ice Age,Raya and the Last Dragon,Winnie the Pooh: A Valentine for You,Zootopia,Zootopia,Raya and the Last Dragon,West Side Story,Zootopia,Moana,Cheaper by the Dozen,Cheaper by the Dozen,Frozen II,Zootopia,Frozen II,Zootopia,Doctor Strange,"Monsters, Inc.",Zootopia,Zootopia,Luca,Moana,Toy Story,Zootopia,Luca,Luca,Doctor Strange in the Multiverse of Madness,Luca,LEGO Star Wars: Summer Vacation,Z-O-M-B-I-E-S 3,Tangled,Toy Story,Cars,Andor: A Disney+ Day Special Look,Lightyear,Moana,Pinocchio,The Nightmare Before Christmas,Moana,Turning Red,Moana,Black Panther,Turning Red,Zootopia,The Santa Clause,Mickey's Once Upon a Christmas,Encanto,Encanto,Encanto,Turning Red,Avatar: The Deep Dive - A Special Edition of 20/20,Frozen,Avatar,Frozen II,Toy Story,Frozen II,Cars,Cars,Frozen II,Black Panther: Wakanda Forever,Zootopia,Frozen II,Cars,Frozen II,Tangled,Zootopia,Zootopia,Frozen,Peter Pan &amp; Wendy,Peter Pan &amp; Wendy
Moana,Burrow,Onward,Toy Story That Time Forgot,Mulan,Ferdinand,Onward,Avengers: Age of Ultron,Avengers: Age of Ultron,Frozen,Frozen,Tangled,Soul,Soul,Avengers: Endgame,Avengers: Endgame,Raya and the Last Dragon,Toy Story,Toy Story 4,Avengers: Endgame,Cars,Toy Story,Coco,Ice Age: Dawn of the Dinosaurs,Zootopia,Frozen II,,,,,,,,,,,,Up,Frozen,Frozen,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,Cruella,Under Wraps,Frozen II,Black Widow,Frozen,The Simpsons in Plusaversary,Black Widow,Moana,Edward Scissorhands,Moana,Moana,The Nightmare Before Christmas,Far From the Tree,X-Men Origins: Wolverine,Raya and the Last Dragon,Zootopia,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,Zootopia,Shang-Chi and the Legend of the Ten Rings,Eternals,Zootopia,Raya and the Last Dragon,Free Guy,The Wonderful Spring of Mickey Mouse,Zootopia,Better Nate Than Ever,Toy Story,Frozen II,Toy Story,Pirates of the Caribbean: The Curse of the Black Pearl,Zootopia,Zootopia,Frozen II,Frozen II,Chip 'n Dale: Rescue Rangers,Toy Story 3,Luca,Toy Story,Zootopia,Zootopia,Moana,Zootopia,Z-O-M-B-I-E-S 3,Zootopia,Avengers: Infinity War,Luca,Luca,Moana,Hocus Pocus,Turning Red,Moana,Moana,Turning Red,Werewolf by Night,Coco,The Nightmare Before Christmas,Zen – Grogu and Dust Bunnies,Moana,Encanto,,Moana,The Guardians of the Galaxy Holiday Special,Mickey's Once Upon a Christmas,Frozen,Lightyear,Frozen II,Frozen,Cars,Cars,Cars,Zootopia,Zootopia,Toy Story,Frozen II,Frozen II,Frozen,Frozen II,Turning Red,Frozen II,Spider-Man 3,Cars,Maggie Simpson in Rogue Not Quite One,Guardians of the Galaxy,Zootopia
Frozen,Avengers: Endgame,Avengers: Endgame,Toy Story 4,Coco,Tangled,Tangled,Avengers: Endgame,Avengers: Endgame,Frozen II,Soul,Soul,Tangled,Zootopia,Zootopia,Soul,Zootopia,Zootopia,Avengers: Endgame,Zootopia,Toy Story,Coco,Big Hero 6,Zootopia,Tangled,Frozen,,,,,,,,,,,,Frozen,Frozen II,Frozen II,Coco,Coco,Frozen,Muppets Haunted Mansion,Halloweentown,,Enchanted,Home Alone 2: Lost in New York,Ciao Alberto,Mickey and Minnie Wish Upon a Christmas,Disney's Holiday Magic Quest,Ice Age,Ron's Gone Wrong,Raya and the Last Dragon,The Sandlot,Zootopia,Avengers: Endgame,Ice Age: Continental Drift,Zootopia,Shang-Chi and the Legend of the Ten Rings,Hamilton,,The Ice Age Adventures of Buck Wild,Onward,Raya and the Last Dragon,Zootopia,Eternals,Incredibles 2,Cars,Toy Story,Cars,Frozen II,Frozen II,Lilo &amp; Stitch,Star Wars: Episode I - The Phantom Menace,Pirates of the Caribbean: The Curse of the Black Pearl,Zootopia,Toy Story 2,Zootopia,Big Hero 6,Thor,Thor: Ragnarok,Deadpool 2,Cars,Doctor Strange in the Multiverse of Madness,Luca,Luca,Zootopia,Zootopia,Lightyear,Turning Red,The Nightmare Before Christmas,Hocus Pocus 25th Anniversary Halloween Bash,Thor: Love and Thunder,Thor: Love and Thunder,Coco,Turning Red,Turning Red,Coco,Black Panther,Moana,,Frozen,Moana,The Guardians of the Galaxy Holiday Special,Frozen II,Frozen,Cars,Toy Story,Toy Story,Frozen II,Zootopia,Ant-Man and the Wasp,Frozen II,Zootopia,Toy Story,Cars,Turning Red,Tangled,Frozen,Frozen,Cars,Frozen II,Guardians of the Galaxy Vol. 2,Zootopia,Cars
Onward,Toy Story 4,Toy Story 4,Coco,Cars,Toy Story,Toy Story 4,Toy Story,Tangled,Coco,Avengers: Endgame,Big Hero 6,Toy Story 4,Tangled,Onward,Toy Story,Tangled,Soul,Tangled,Tangled,Coco,Cars,Cars,Tangled,Toy Story,Toy Story 4,,,,,,,,,,,,Pirates of the Caribbean: On Stranger Tides,Raya and the Last Dragon,Raya and the Last Dragon,Frozen,Under Wraps,Cruella,Coco,Coco,,Under the Helmet: The Legacy of Boba Fett,The Santa Clause,Black Widow,Home Alone 2: Lost in New York,Home Sweet Home Alone,Raya and the Last Dragon,A Christmas Carol,Cruella,Avengers: Endgame,,,Raya and the Last Dragon,,,,,,,Incredibles 2,Raya and the Last Dragon,Incredibles 2,Raya and the Last Dragon,Frozen,Frozen,Pirates of the Caribbean: The Curse of the Black Pearl,Cars,Toy Story,Pirates of the Caribbean: The Curse of the Black Pearl,Toy Story,Frozen,Toy Story 4,Luca,Frozen,Cars,Toy Story,Toy Story,Luca,Frozen,Luca,Cars,Zootopia,Cars,Frozen,Luca,Cars,Lightyear,Turning Red,Turning Red,"Monsters, Inc.",Cars,"Monsters, Inc.",The Gift,Frozen,Turning Red,Zootopia,,Mickey's Once Upon a Christmas,Frozen,The Santa Clause 2,Home Alone,Frozen II,Toy Story,Cars,Zootopia,Finding Nemo,Strange World,Frozen II,Turning Red,Luca,Cars,Luca,Rio,Frozen,Tangled,Oswald the Lucky Rabbit,Frozen,Tangled,Zootopia,Cars,Venom
The Santa Clause,The Wolverine,Horton Hears a Who!,Zootopia,Zootopia,Cars,Aladdin,Tangled,Toy Story 4,Avengers: Endgame,Avengers: Infinity War,Flora &amp; Ulysses,Onward,Coco,Toy Story,Tangled,Soul,Tangled,Bao,Big Hero 6,Avengers: Endgame,Avengers: Endgame,"Monsters, Inc.",Toy Story,Cars,Toy Story,,,,,,,,,,,,Coco,Cars,Cars,Halloweentown,Frozen,Frozen II,Cruella,Cruella,,Moana,The Nightmare Before Christmas,Cruella,Jungle Cruise,Jungle Cruise,Arendelle Castle Yule Log: Cut Paper Edition,Shang-Chi and the Legend of the Ten Rings,Jungle Cruise,Raya and the Last Dragon,,,,,,,,,,,Incredibles 2,Raya and the Last Dragon,,Encanto,Cars,Frozen,Toy Story,Cars,Frozen II,Cars,Toy Story,Frozen,Zootopia,Frozen II,Frozen II,The Wonderful Summer of Mickey Mouse,Z-O-M-B-I-E-S,Zootopia,Frozen II,Zootopia,Frozen,Tangled,Frozen,Frozen II,Hocus Pocus,Zootopia,Cars,Halloweentown,Halloweentown,Coco,Zootopia,Halloweentown,Cars,Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,Turning Red,,Diary of a Wimpy Kid: Rodrick Rules,Mickey's Once Upon a Christmas,Moana,Raya and the Last Dragon,Turning Red,Zootopia,Frozen II,Avatar,Strange World,Turning Red,Turning Red,"Monsters, Inc.",Turning Red,Zootopia,Rio,Finding Dory,Turning Red,Luca,Turning Red,Frozen II,Luca,Coco,Frozen II,Frozen
