title,imdb_id
The Matrix Reloaded,tt0234215
Selena,tt0120094
Legion of Super-Heroes,tt22769820
Little Nicky,tt0185431
He's Just Not That Into You,tt1001508
Half Brothers,tt10515926
Escape Plan 2: Hades,tt6513656
Making of The Last of Us,tt27478132
Hitman's Wife's Bodyguard,tt8385148
Mama's Boy,tt0415141
The Expendables 3,tt2333784
Dunkirk,tt5013056
Eraser: Reborn,tt15422240
V for Vendetta,tt0434409
Bride Wars,tt0901476
The Day the Earth Stood Still,tt0970416
The Survivor,tt9242528
Malignant,tt3811906
The Man from U.N.C.L.E.,tt1638355
2 Fast 2 Furious,tt0322259
Jupiter Ascending,tt1617661
Wrath of the Titans,tt1646987
Batman and Superman: Battle of the Super Sons,tt21197740
Johnson Family Vacation,tt0359517
That Awkward Moment,tt1800246
Frederick Douglass: In Five Speeches,tt17542306
Chernobyl: The Lost Tapes,tt13913326
The Princess,tt0093779
Miss Congeniality,tt0212346
Fast &amp; Furious Presents: Hobbs &amp; Shaw,tt6806448
Free Guy,tt6264654
It Chapter Two,tt7349950
"Marcella Arguello: Bitch, Grow Up!",tt26623699
A Nightmare on Elm Street,tt0087800
The Witch,tt0805647
Pelosi in the House,tt23852952
Valentine's Day,tt0817230
News of the World,tt6878306
Die Hard,tt0095016
How to Survive a Pandemic,tt14153420
Elvis,tt3704428
Creed,tt3076658
Alvin and the Chipmunks,tt0952640
Scary Movie 3,tt0306047
The Conjuring,tt1457767
The Dress,tt0116729
Mortal Kombat,tt0293429
Teen Titans Go! vs. Teen Titans,tt10548944
Good Will Hunting,tt0119217
Blue Bayou,tt11121664
Dragged Across Concrete,tt6491178
Per qualche dollaro in piu,tt0059578
The Polar Express,tt0338348
The Fast and the Furious: Tokyo Drift,tt0463985
I Am Legend,tt0480249
The Little Things,tt10016180
Friday After Next,tt0293815
Into the Storm,tt2106361
GoodFellas,tt0099685
Because I Said So,tt0490084
RED 2,tt1821694
The Notebook,tt0332280
Neighbors,tt2004420
Kick-Ass 2,tt1650554
Jurassic Park III,tt0163025
The Eyes of Tammy Faye,tt9115530
"If I Can’t Have Love, I Want Power",tt15141288
Juice WRLD: Into the Abyss,tt15168124
Robin Hood,tt4532826
Superintelligence,tt7178640
Godzilla: King of the Monsters,tt3741700
Moonage Daydream,tt9883832
Ron's Gone Wrong,tt7504818
Geostorm,tt1981128
The Lord of the Rings: The Two Towers,tt0167261
The Howard Stern Interview: Bruce Springsteen,tt25967834
Injustice,tt5012504
Oblivion,tt1483013
Ian Lara: Romantic Comedy,tt23650190
"The Good, the Bad and the Ugly",tt0060196
8 Mile,tt0298203
Step Brothers,tt0838283
Blade,tt0120611
Twister,tt0117998
The Bourne Legacy,tt1194173
Transporter 3,tt1129442
Aquaman,tt1477834
American Sniper,tt2179136
Lone Survivor,tt1091191
Men in Black 3,tt1409024
Unbroken,tt1809398
Harry Potter and the Prisoner of Azkaban,tt0304141
"I, Robot",tt0343818
American Psycho,tt0144084
Land,tt10265034
Annabelle: Creation,tt5140878
Belle,tt13651628
Blast from the Past,tt0124298
War of the Worlds,tt0407304
The Hangover Part II,tt1411697
13 Going On 30,tt0337563
Talladega Nights: The Ballad of Ricky Bobby,tt0415306
White Chicks,tt0381707
The Hunt,tt8244784
King Richard,tt9620288
All My Life,tt8305852
Holiday Harmony,tt22814692
Matilda,tt0117008
LFG,tt14375756
"Batman: The Long Halloween, Part 1",tt14324650
Kimi,tt14128670
The Other Woman,tt2203939
Magic Mike XXL,tt2268016
Rock and Roll Hall of Fame 2021 Induction Ceremony,tt15716316
John Wick: Chapter Two,tt4425200
Batman v Superman: Dawn of Justice,tt2975590
Promising Young Woman,tt9620292
Ghost Ship,tt0288477
Space Jam: A New Legacy,tt3554046
Inside Man,tt10948716
The Book of Eli,tt1037705
The Switch,tt0889573
Bloodsport,tt0092675
Black Mass,tt1355683
Belfast,tt12789558
Underwater,tt5774060
The Kingdom,tt0431197
The Card Counter,tt11196036
The Fallout,tt11847410
The Truman Show,tt0120382
Life of Crime,tt1663207
Roadrunner: A Film About Anthony Bourdain,tt14512538
Coming to America,tt0094898
The Blind Side,tt0878804
Comedy Chingonas,tt16152220
Ex Machina,tt0470752
Hellboy,tt2274648
A Good Day to Die Hard,tt1606378
Kick-Ass,tt1250777
Let Them All Talk,tt10808832
Dracula Untold,tt0829150
The Hobbit: An Unexpected Journey,tt0903624
Ma,tt7958736
Irresistible,tt9076562
This Place Rules,tt23950956
A Star is Born,tt1517451
The Queen,tt0436697
West Side Story,tt3581652
Ice on Fire,tt9114472
Dear Evan Hansen,tt9357050
Wolf,tt0111742
Lucy,tt2872732
The Witches,tt0805647
The Fastest Woman on Earth,tt22687772
Scary Movie 2,tt0257106
The Outsiders,tt0086066
The Purge,tt2184339
Justice Society: World War II,tt13804084
Superman/Shazam!: The Return of Black Adam,tt1701223
Beverly Hills Cop,tt0086960
The Internship,tt2234155
Draft Day,tt2223990
The Batman,tt1877830
Men in Black,tt0119654
Insidious,tt1591095
Navalny,tt17041964
Last Night in Soho,tt9639470
The Captive,tt2326612
Eyes on the Prize: Hallowed Ground,tt15078488
How the Grinch Stole Christmas,tt0170016
Journey to the Center of the Earth,tt0373051
Every Secret Thing,tt1706598
Persona: The Dark Truth Behind Personality Tests,tt14173880
The Italian Job,tt0317740
Shazam!,tt0448115
Don't Worry Darling,tt10731256
"1, 2, 3, All Eyes On Me",tt11724300
Fifty Shades of Grey,tt2322441
Marlon Wayans Presents: The Headliners,tt18950688
See How They Run,tt13640696
The Purge: Anarchy,tt2975578
Antlers,tt7740510
House of Wax,tt0397065
Fantastic Beasts: The Crimes of Grindelwald,tt4123430
3:10 to Yuma,tt0381849
The French Dispatch,tt8847712
Angels &amp; Demons,tt0808151
Contact,tt0118884
Zack Snyder's Justice League,tt12361974
Trouble with the Curve,tt2083383
A Christmas Story,tt0085334
The Time Traveler's Wife,tt0452694
Harry Potter and the Half-Blood Prince,tt0417741
Training Day,tt0139654
The House,tt11703050
The Mule,tt7959026
When We Were Bullies,tt13796488
A Hollywood Christmas,tt21950514
Those Who Wish Me Dead,tt3215824
The Wood,tt1910645
The Mummy,tt0120616
All That Breathes,tt16377862
Rocky,tt0075148
Fantastic Beasts and Where to Find Them,tt3183660
The Accountant,tt2140479
Fatale,tt8829830
Wonder Woman,tt0451279
Delivery Man,tt2387559
Black Adam,tt6443346
"Love, Lizzo",tt13622290
Blackhat,tt2717822
Jerrod Carmichael: Rothaniel,tt18949702
Ready Player One,tt1677720
Long Shot,tt2139881
50 First Dates,tt0343660
The 40 Year Old Virgin,tt0405422
The Many Saints of Newark,tt8110232
Icahn: The Restless Billionaire,tt15462640
Chef,tt2883512
National Lampoon's Christmas Vacation,tt0097958
Mortal Kombat Legends: Battle of the Realms,tt14901058
The Forever Purge,tt10327252
Hacksaw Ridge,tt2119532
Cold Pursuit,tt5719748
"Crazy, Stupid, Love.",tt1570728
61*,tt0250934
Get Hard,tt2561572
Fantastic Beasts: The Secrets of Dumbledore,tt4123432
The Break-Up,tt0452594
The Killing of Kenneth Chamberlain,tt8906722
We Met in Virtual Reality,tt16378482
The Great Gatsby,tt1343092
Rush Hour 2,tt0266915
The Expendables,tt1320253
Freaky,tt10919380
The Personal History of David Copperfield,tt6439020
Rush Hour,tt0120812
Death on the Nile,tt7657566
Magic Mike,tt1915581
In The Heights,tt1321510
DMX: Don't Try to Understand,tt11817822
Wild Hogs,tt0486946
Insurgent,tt3109410
Point Break,tt0102685
"Phoebe Robinson: Sorry, Harriet Tubman",tt15513290
Mortal Kombat: Annihilation,tt0119707
Mad Max: Fury Road,tt1392190
Source Code,tt0945513
We're the Millers,tt1723121
The Dark Knight Rises,tt1345836
Aida Rodriguez: Fighting Words,tt15766708
Voyagers,tt9664108
Divergent,tt1840309
The Campaign,tt1790886
2022 Rock &amp; Roll Hall of Fame Induction Ceremony,tt23916308
Bad Teacher,tt1284575
Ahir Shah: Dots,tt11459872
Friday,tt0113118
The New Mutants,tt4682266
Zombieland,tt1156398
John Wick: Chapter 3 – Parabellum,tt6146586
Lizzo: Live in Concert,tt25406946
Drive My Car,tt14039582
Harry Potter and the Philosopher's Stone,tt14149634
Taken 2,tt1397280
The Karate Kid,tt0087538
Jurassic Park,tt0107290
The Transporter,tt0293662
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,tt14903892
"Love to Love You, Donna Summer",tt16442822
A Million Ways to Die in the West,tt2557490
Project X,tt1636826
The Hobbit: The Battle of the Five Armies,tt2310332
The Cabin in the Woods,tt1259521
300: Rise of an Empire,tt1253863
The Weeknd: Live At SoFi Stadium,tt26685153
Casino Royale,tt0381061
The Matrix Revolutions,tt0242653
The Fast and the Furious,tt0232500
Barbarian,tt15791034
Earwig and the Witch,tt12441478
Cry Macho,tt1924245
Next Friday,tt0195945
Run All Night,tt2199571
The Gift,tt4178092
Bill Maher: #Adulting,tt18271228
8-Bit Christmas,tt11540284
Ocean's Eleven,tt0240772
Cellular,tt0337921
Temple Grandin,tt1278469
Chasing Greatness: Coach K x LeBron,tt26907932
Skin Can Breathe,tt23648576
Godzilla vs. Kong,tt5034838
Nobody,tt7888964
The Wizard of Lies,tt1933667
Tom &amp; Jerry,tt1361336
Dirty Dancing,tt0092890
Blue Streak,tt0181316
2 Guns,tt1272878
John Wick,tt2911666
Fast &amp; Furious 6,tt1013752
Last Christmas,tt8623904
The Host,tt0468492
What Happened in Vegas,tt1033643
Greenland,tt7737786
R.I.P.D.,tt0790736
Fantastic Beasts: A Natural History,tt11709244
The Goonies,tt0089218
Locked Down,tt13061914
Superbad,tt0829482
Blended,tt1086772
Dear Rider: The Jake Burton Story,tt15390756
Central Intelligence,tt1489889
The Curse of La Llorona,tt4913966
Moses Storm: Trash White,tt17048424
The Day After Tomorrow,tt0319262
Dodgeball: A True Underdog Story,tt0364725
Man of Steel,tt0770828
A Fistful of Dollars,tt0058461
Please Hold,tt2207082
Pitch Perfect,tt1981677
Reminiscence,tt3272066
The Lego Batman Movie,tt4116284
Blade Runner 2049,tt1856101
Coraline,tt0327597
Miami Vice,tt0430357
Hot Tub Time Machine,tt1231587
12 Strong,tt1413492
Nikki Glaser: Good Clean Filth,tt16160708
This Is Where I Leave You,tt1371150
My Big Fat Greek Wedding,tt0259446
Katrina Babies,tt15306876
Transformers,tt0418279
Endangered,tt8295468
Constantine,tt0360486
Percy Jackson: Sea of Monsters,tt1854564
38 at the Garden,tt19758560
Creed II,tt6343314
Exodus: Gods and Kings,tt1528100
Sherlock Holmes: A Game of Shadows,tt1515091
The King of Staten Island,tt9686708
The Lord of the Rings: The Return of the King,tt0167260
Four Hours at the Capitol,tt15520020
Green Lantern: Beware My Power,tt20192230
Insecure: The End,tt16733354
Marlon Wayans: You Know What It Is,tt15046062
The Incredible Hulk,tt0800080
POKÉMON Detective Pikachu,tt5884052
Harry Potter and the Deathly Hallows: Part 2,tt1201607
Live Free or Die Hard,tt0337978
Brothers by Blood,tt8368294
Space Jam,tt0117705
Tom and Jerry: Cowboy Up!,tt15831226
Star Trek: First Contact,tt0117731
