2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21,2021-11-28,2021-12-05,2021-12-12,2021-12-19,2021-12-26,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21
Elf,Elf,Bad Boys for Life,Shrek,The King of Staten Island,Good Boys,Burden,Good Boys,Good Boys,Nomadland,Nomadland,Boss Level,Boss Level,Pitch Perfect,Just Before I Go,The Craft: Legacy,Shrek 2,Inside Out,Inside Out,Nomadland,Tenet,Norbit,Norbit,Wonder Woman 1984,Good Boys,The Croods: A New Age,The Croods: A New Age,12 Strong,Monster Hunter,Space Jam,Space Jam,Space Jam,The Croods: A New Age,The Resort,White House Down,Godzilla vs. Kong,Vacation Friends,Vacation Friends,Four Good Days,Mortal Kombat,Grown Ups 2,Grown Ups 2,Grown Ups 2,The House Next Door: Meet the Blacks 2,The Addams Family,The Addams Family,Jumanji: The Next Level,Pain &amp; Gain,Elf,Elf,Elf,Elf,The Equalizer 2,The Equalizer 2,The Equalizer 2,The Suicide Squad,Mr. &amp; Mrs. Smith,Ray Donovan: The Movie,Matilda,Spider-Man: Homecoming,Spider-Man: Homecoming,The King's Man,No Exit,Fresh,Fresh,Deep Water,Deep Water,Death on the Nile,Death on the Nile,The Batman,The Batman,Venom: Let There Be Carnage,Run,The Matrix Resurrections,Ghostbusters: Afterlife,Ghostbusters: Afterlife,Fantastic Beasts: The Secrets of Dumbledore,The Requin,Stillwater,Venom: Let There Be Carnage,The Princess,For the Love of Money,The Bob's Burgers Movie,Spider-Man: No Way Home,Spider-Man: No Way Home,Prey,Prey,Prey,Vendetta,Vendetta,Elvis,Elvis,Moonfall,Private Property,Hellraiser,The Devil You Know,Alice,Alice,God Forbid: The Sex Scandal That Brought Down a Dynasty,Don't Worry Darling,How the Grinch Stole Christmas,How the Grinch Stole Christmas,How the Grinch Stole Christmas,How the Grinch Stole Christmas,How the Grinch Stole Christmas,How the Grinch Stole Christmas,Spider-Man: No Way Home,The Menu,The Menu,The Commando,The Commando,The Commando,The Commando,Spider-Man: No Way Home,Fall,Triangle of Sadness,Jumanji: Welcome to the Jungle,Everything Everywhere All at Once,The Wedding Ringer,Lullaby,Shrek,Shrek,Shrek,Shrek,The Little Things,POKÉMON Detective Pikachu
Prancer,John Wick: Chapter 3 – Parabellum,Shrek,The King of Staten Island,Good Boys,Frozen,Good Boys,Godzilla: King of the Monsters,The Sandlot,Jumanji: The Next Level,Sonic the Hedgehog,Jumanji: The Next Level,kid 90,Jumanji: The Next Level,Cleaner,Godzilla: King of the Monsters,Inside Out,Ted,The New Mutants,Hotel Transylvania,Hotel Transylvania,Hotel Transylvania,Hotel Transylvania,Hotel Transylvania,Roll Bounce,Life,Wrong Turn,False Positive,Independence Day,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",Identity Thief,Jumanji: The Next Level,Jumanji: The Next Level,Shark Tale,Jumanji: The Next Level,This Is the End,This Is the End,Love and Monsters,Vacation Friends,Snitch,Grown Ups,Hotel Transylvania,Hotel Transylvania,The Addams Family,The Unholy,The Marksman,Rush Hour,Elf,The Boss Baby: Family Business,Pig,Christmas with the Kranks,The Equalizer 2,World War Z,World War Z,World War Z,The Survivalist,Paul,Hitman's Wife's Bodyguard,Joy Ride,Master and Commander: The Far Side of the World,Venom,Don't Breathe 2,Free Guy,No Exit,Spider-Man: Homecoming,F9,Dune,King Richard,Deadlock,The Wolf of Wall Street,Venom: Let There Be Carnage,The Batman,Venom: Let There Be Carnage,Last Survivors,The Valet,The Valet,Resident Evil: Welcome to Raccoon City,A Journal for Jordan,"Good Luck to You, Leo Grande","Good Luck to You, Leo Grande",Machine Gun Kelly's Life In Pink,The Contractor,The Contractor,Ghostbusters: Afterlife,Not Okay,A Day to Die,Life,Ghost Ship,Prey,Spider-Man: No Way Home,This Is 40,Moonfall,Tammy,DC League of Super-Pets,Girl in the Shed: The Kidnapping of Abby Hernandez,Alice,Rosaline,Rosaline,Don't Tell Mom the Babysitter's Dead,The Equalizer,How High,Wrong Place,Wrong Place,Wrong Place,Wrong Place,Black Adam,Black Adam,The Mummy,White Chicks,Everything Everywhere All at Once,Everything Everywhere All at Once,Everything Everywhere All at Once,Everything Everywhere All at Once,Bloodshot,Paradise Highway,Jumanji: Welcome to the Jungle,Everything Everywhere All at Once,Boston Strangler,Boston Strangler,Spider-Man: No Way Home,Shrek 2,Rise of the Planet of the Apes,The War with Grandpa,The War with Grandpa,POKÉMON Detective Pikachu,Twilight
Bad Boys for Life,Bad Boys for Life,John Wick: Chapter 3 – Parabellum,Bad Boys for Life,Frozen,Ice Age: Dawn of the Dinosaurs,Frozen,The Sandlot,Shrek,Sonic the Hedgehog,The United States vs. Billie Holiday,The United States vs. Billie Holiday,Jumanji: The Next Level,Good Boys,Jumanji: The Next Level,Inside Out,Rio,The Campaign,Nomadland,Good Boys,Shrek 2,Inside Out,Greenland,Greenland,Jumanji: The Next Level,Wrong Turn,Life,Monster Hunter,Safer at Home,The Mask,Blades of Glory,Bad Boys for Life,The Resort,White House Down,The Croods: A New Age,Jumanji: The Next Level,Lottery Ticket,Four Good Days,Mortal Kombat,Dracula Untold,Hotel Transylvania,The Addams Family,The Addams Family,The Wolf of Wall Street,White People Money,Hotel Transylvania,Bad Boys for Life,Get Rich or Die Tryin',Deadpool,Deadpool 2,Jumanji: Welcome to the Jungle,Hustlers,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,The Change-Up,2 Guns,The Last Duel,Space Jam: A New Legacy,Nobody,Spencer,Spider-Man: Homecoming,The King's Man,Free Guy,Venom,Spider-Man: Homecoming,Spider-Man: Homecoming,Dune,Matilda,We're the Millers,Jumper,The Forever Purge,The Batman,Funny People,Venom: Let There Be Carnage,Venom: Let There Be Carnage,13 Minutes,Bridesmaids,Ride Along,Machine Gun Kelly's Life In Pink,Men in Black: International,The Princess,Gold,Venom: Let There Be Carnage,Venom: Let There Be Carnage,Spider-Man: No Way Home,Think Like a Man Too,Hunter Killer,A Thousand Little Cuts,Hostile Territory,Son in Law,Unplugging,Unplugging,Hotel Transylvania,DC League of Super-Pets,Grimcutty,Scream,Scream,Barbarian,How the Grinch Stole Christmas,Don't Worry Darling,Alita: Battle Angel,Alone Together,Alone Together,Alone Together,Bad Santa,How the Grinch Stole Christmas,Spider-Man: No Way Home,Jumanji: The Next Level,Spider-Man: No Way Home,Spider-Man: No Way Home,Spider-Man: No Way Home,Spider-Man: No Way Home,Edge of Tomorrow,Spider-Man: No Way Home,Spider-Man: No Way Home,Triangle of Sadness,Spider-Man: No Way Home,Spider-Man: No Way Home,22 Jump Street,Clerks III,Clerks III,The Offering,The Offering,Twilight,The Meg
John Wick: Chapter 3 – Parabellum,Die Hard,Jumanji: The Next Level,Good Boys,Bad Boys for Life,The Tax Collector,Ice Age: Dawn of the Dinosaurs,Shrek,Jumanji: The Next Level,Bad Boys for Life,Jumanji: The Next Level,Bad Boys for Life,Good Boys,Buddy Games,The Craft: Legacy,Shrek,Belly,Hot Tub Time Machine,Hotel Transylvania,The Last Shift,Shrek,Good Boys,Shrek,Shrek,Hit &amp; Run,Good Boys,12 Strong,The Croods: A New Age,"Summer of Soul (...or, When the Revolution Could Not Be Televised)",Beetlejuice,Four Brothers,Night of the Living Dead,Bad Boys for Life,Tom &amp; Jerry,The Blind Side,Cinderella,Bad Boys for Life,Jumanji: The Next Level,Jumanji: The Next Level,Logan,The Blind Side,The War with Grandpa,The War with Grandpa,Out of Death,Hotel Transylvania,The Conjuring: The Devil Made Me Do It,Let's Go to Prison,Jumanji: The Next Level,Deadpool 2,Christmas with the Kranks,Jumanji: The Next Level,Christmas with the Kranks,Elf,Sicario: Day Of The Soldado,Sicario: Day Of The Soldado,Mr. &amp; Mrs. Smith,Sex Appeal,Matilda,Nobody,Matilda,The Proposal,Escape Room: Tournament of Champions,Don't Breathe 2,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,No Exit,No Exit,Deep Water,Hide and Seek,Deep Water,The Forever Purge,Run,Dodgeball: A True Underdog Story,Despicable Me 2,Old,Old,Venom: Let There Be Carnage,The Devil Wears Prada,Matilda,Supercool,Venom: Let There Be Carnage,Gold,That Awkward Moment,The Bob's Burgers Movie,Ghostbusters: Afterlife,Measure of Revenge,Despicable Me 2,Jackass Forever,Hostile Territory,Prey,Van Helsing,Divergent,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Spider-Man: No Way Home,Hotel Transylvania,22 Jump Street,Monstrous,Monstrous,The Equalizer,How High,A Million Ways to Die in the West,Everything Everywhere All at Once,Gone in the Night,Gone in the Night,Gone in the Night,Eight Crazy Nights,Fury,Last Looks,The Drop,Panama,Panama,Panama,Panama,Paradise Highway,Human Resources,The Equalizer 2,The Equalizer 2,Spiral: From the Book of Saw,Fall,The Wedding Ringer,Spider-Man: No Way Home,Shrek 2,Medieval,Medieval,The Mask,ATL
The Little Rascals Save the Day,Night of the Living Dead,Night of the Living Dead,Frozen,Jumanji: The Next Level,Shrek,John Wick: Chapter 3 – Parabellum,Jumanji: The Next Level,Antebellum,True History of the Kelly Gang,Bad Boys for Life,Spider-Man: Far from Home,Spider-Man: Far from Home,John Wick: Chapter 3 – Parabellum,Shrek,Good Boys,Good Boys,Good Boys,The Campaign,Shrek,Good Boys,Shrek,Good Boys,Good Boys,Trolls World Tour,Jumanji: The Next Level,Good Boys,Wrong Turn,False Positive,Identity Thief,Jumanji: The Next Level,Spider-Man: Far from Home,The Blind Side,Every Breath You Take,Bad Boys for Life,Lottery Ticket,Jumanji: The Next Level,Bad Boys for Life,The Croods: A New Age,New Jersey Drive,The War with Grandpa,Grown Ups,Grown Ups,Spiral: From the Book of Saw,Grandma's Boy,The Ringer,Shrek,Norbit,Norbit,The Humans,The Little Rascals Save the Day,Jumanji: Welcome to the Jungle,Sicario: Day Of The Soldado,She Ball,She Ball,Crime Story,Role Models,Space Jam: A New Legacy,The Boss Baby: Family Business,Venom,Nightmare Alley,Venom,Old Henry,Matilda,Matilda,Dune,King Richard,Spider-Man: Homecoming,The Wolf of Wall Street,The Incredible Hulk,The Hating Game,Crush,Despicable Me,Venom: Let There Be Carnage,Anchorman 2: The Legend Continues,Spider-Man: Homecoming,A Journal for Jordan,Stillwater,Ghostbusters: Afterlife,Drunk Parents,Gasoline Alley,The Bob's Burgers Movie,The Other Woman,The Stranger in Our Bed,Topside,Homefront,Despicable Me,On the Count of Three,Ghostbusters: Afterlife,Venom: Let There Be Carnage,Matilda,Why Did I Get Married Too?,Elvis,Girl in the Shed: The Kidnapping of Abby Hernandez,Zombieland: Double Tap,X,Incarnation,Incarnation,Don't Worry Darling,Neighbors,Neighbors,Spider-Man: No Way Home,The Immaculate Room,The Immaculate Room,The Immaculate Room,Bad Santa 2,Dead for a Dollar,Black Adam,Everything Everywhere All at Once,Elvis,Elvis,Elvis,Elvis,Click,The Five Heartbeats,Everything Everywhere All at Once,House Party,The Unbearable Weight of Massive Talent,The Estate,Venom: Let There Be Carnage,Rise of the Planet of the Apes,Medieval,Shrek 2,Shrek 2,Rampage,Blood
Jumanji: The Next Level,1917,Good Boys,Jumanji: The Next Level,Ice Age: Dawn of the Dinosaurs,Alone,Shrek,Trolls World Tour,Bad Boys for Life,Tentacles,John Wick: Chapter 3 – Parabellum,John Wick: Chapter 3 – Parabellum,Bad Boys for Life,Becky,Good Boys,Shrek 2,Girl,The Watch,Good Boys,Tenet,Jumanji: The Next Level,Shrek 2,Inside Out,Plan B,Bad Boys for Life,Shrek,The Little Things,Mama,Jumanji: The Next Level,Barb and Star Go to Vista Del Mar,Bad Boys for Life,The Hunt,White House Down,The Croods: A New Age,Shrek,Bad Boys for Life,Godzilla vs. Kong,Spider-Man,Transformers,News of the World,The Addams Family,Jeepers Creepers 2,Jeepers Creepers 2,Hotel Transylvania,The Ringer,The Misfits,The Croods: A New Age,Zola,Jumanji: The Next Level,Norbit,Norbit,Another Girl,She Ball,R.I.P.D.,R.I.P.D.,Hulk,Matilda,Bad Boys for Life,The Croods: A New Age,Nightmare Alley,All About the Benjamins,Jumanji: Welcome to the Jungle,Antlers,Hitman's Wife's Bodyguard,Free Guy,Venom,Fresh,Matilda,Twilight,John and the Hole,About Last Night,Rise of the Planet of the Apes,Billy Madison,The Wolf of Wall Street,The Wolf of Wall Street,Matilda,Ghostbusters: Afterlife,Venom: Let There Be Carnage,Fantastic Beasts: The Secrets of Dumbledore,Street Kings,Independence Day,The Heat,Colombiana,Student Body,Let's Go to Prison,Despicable Me 2,Paul Blart: Mall Cop 2,Ghostbusters: Afterlife,Venom: Let There Be Carnage,Ghostbusters: Afterlife,Bruce Almighty,Insurgent,Spider-Man: No Way Home,Halloween Kills,Halloween Kills,Hotel Transylvania,Hellraiser,Hellraiser,Clean,The Good Neighbor,Life,Alone Together,Darby and the Dead,Darby and the Dead,Darby and the Dead,Alvin and the Chipmunks,Everything Everywhere All at Once,Jumanji: The Next Level,Spider-Man: No Way Home,Horrible Bosses 2,Horrible Bosses 2,Horrible Bosses 2,Horrible Bosses 2,Piggy,The Reef: Stalked,Fall,Watcher,Jumanji: The Next Level,The Unbearable Weight of Massive Talent,Boston Strangler,Bodies Bodies Bodies,Despicable Me 2,Rise of the Planet of the Apes,Rise of the Planet of the Apes,The Meg,The Mask
Trolls World Tour,Project X,Frozen,Night of the Living Dead,John Wick: Chapter 3 – Parabellum,Bad Boys for Life,The Sandlot,Bad Boys for Life,Disturbing the Peace,The Rental,Spider-Man: Far from Home,Nomadland,John Wick: Chapter 3 – Parabellum,Shrek,Buddy Games,WeWork: or The Making and Breaking of a $47 Billion Unicorn,Ted,Songbird,Broken City,Jumanji: The Next Level,Trolls World Tour,The Lone Ranger,Shrek 2,Shrek 2,Life,Trolls World Tour,This Is 40,The 40 Year Old Virgin,Shrek,Jumanji: The Next Level,Shrek,Identity Thief,Shrek,Jumanji: The Next Level,Blades of Glory,The Croods: A New Age,Hotel Transylvania,The Croods: A New Age,Hotel Transylvania,Hotel Transylvania,Spartan,You Got Served,You Got Served,The Unholy,The House Next Door: Meet the Blacks 2,Settlers,Elf,Bad Boys for Life,Bad Boys for Life,Caged,Queenpins,World War Z,R.I.P.D.,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,Paul,Ray Donovan: The Movie,Robin Hood,Jumanji: Welcome to the Jungle,Dirty Grandpa,Jumanji: Welcome to the Jungle,Spencer,Jumanji: Welcome to the Jungle,Don't Breathe 2,No Exit,Jumanji: Welcome to the Jungle,Venom,Halloween Kills,Deep Water,Spider-Man: Homecoming,Spider-Man: Homecoming,Venom,Despicable Me 2,The Batman,Despicable Me 2,Don't Breathe 2,The Requin,Robots,Delivery Man,Witch Hunt,The Desperate Hour,Venom: Let There Be Carnage,Ghostbusters: Afterlife,Cobra,Spider-Man: Homecoming,Life,All About the Benjamins,Matilda,The Last Son,Matilda,Prey,Matilda,The Curse of La Patasola,Prey,Amish Witches: The True Story of Holmes County,Rosaline,The Devil You Know,The Devil You Know,Volunteers,Life,"Confess, Fletch",Daughter of the Wolf,Shallow Hal,Shallow Hal,Shallow Hal,Spider-Man: No Way Home,Suitcase Killer: The Melanie McGuire Story,The Mummy Returns,House of Darkness,Super Troopers,Super Troopers,Super Troopers,Super Troopers,Rio,Slayers,Spin Me Round,Spider-Man: No Way Home,Jumanji: Welcome to the Jungle,Everything Everywhere All at Once,Underworld: Blood Wars,Underworld: Blood Wars,Hunter Killer,Spider-Man: No Way Home,Spider-Man: No Way Home,Abandon,The Locksmith
Wrath of the Titans,Frozen,Trolls World Tour,Selena,Trolls World Tour,John Wick: Chapter 3 – Parabellum,Alone,Night of the Living Dead,Safe House,Bulletproof,Trolls World Tour,Trolls World Tour,Shrek,kid 90,The Call,Trolls World Tour,Shrek,Shrek,The Watch,Let's Go to Prison,Bad Boys for Life,Jumanji: The Next Level,Jumanji: The Next Level,Jumanji: The Next Level,Night of the Living Dead,The Devil Wears Prada,Jumanji: The Next Level,Life,The Croods: A New Age,Bill &amp; Ted Face the Music,Let Him Go,Warm Bodies,Hotel Transylvania,Underwater,Godzilla vs. Kong,The Blind Side,Black Death,Spider-Man 2,Dracula Untold,The Legend of Hercules,The Retreat,State Property 2,State Property 2,Grandma's Boy,Jumanji: The Next Level,Halloween: The Curse of Michael Myers,Pain &amp; Gain,Shrek,Shrek,Teenage Mutant Ninja Turtles: Out of the Shadows,Jingle All the Way,Sicario: Day Of The Soldado,The Hobbit: An Unexpected Journey,12 Strong,12 Strong,Norbit,The Last Duel,The Boss Baby: Family Business,Deadpool,Dragon Ball Super: Broly,Escape Room: Tournament of Champions,What Breaks the Ice,The Suicide Squad,Spider-Man: Homecoming,Safe House,The Green Knight,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,The Incredible Hulk,Man of Steel,Venom,Spider-Man: Homecoming,Matilda,Scarface,Spider-Man: Homecoming,Jumanji: Welcome to the Jungle,Fire Island,Jurassic Park,Last Vegas,Men in Black: International,Matilda,The Other Woman,The Amazing Spider-Man 2,Room 203,Measure of Revenge,Spider-Man: Far from Home,Predator,Venom: Let There Be Carnage,Matilda,Jumanji: Welcome to the Jungle,Unplugging,Sex Tape,Matilda,Matilda,The Devil You Know,Hellraiser,Paid in Full,Paid in Full,How the Grinch Stole Christmas,God Forbid: The Sex Scandal That Brought Down a Dynasty,Code Name Banshee,Alvin and the Chipmunks,Jingle All the Way,Jingle All the Way,Jingle All the Way,Christmas Vacation 2: Cousin Eddie's Island Adventure,The Equalizer 2,Couples Retreat,Bromates,Agent Game,Agent Game,Agent Game,Agent Game,Jumanji: The Next Level,Everything Everywhere All at Once,Jumanji: The Next Level,History of the World: Part I,Venom: Let There Be Carnage,Lullaby,The Last Manhunt,The Enforcer,Juice,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,The Equalizer,Shrek
Coraline,Birds of Prey,Bruce Almighty,Trolls World Tour,The SpongeBob SquarePants Movie,The SpongeBob SquarePants Movie,Bad Boys for Life,Spider-Man: Far from Home,Night of the Living Dead,Good Boys,The Rental,Sonic the Hedgehog,Pitch Perfect,Night of the Living Dead,Inside Out,Bad Boys for Life,Napoleon Dynamite,Hotel Transylvania,Shrek,Trolls World Tour,Madea Goes to Jail,Shadow in the Cloud,Trolls World Tour,Inside Out,Wonder Woman 1984,Shrek 2,The Italian Job,Phobias,Scary Movie 4,Shrek,Spider-Man: Far from Home,Blades of Glory,Night of the Living Dead,The Good Dinosaur,Tom &amp; Jerry,Obsessed,Spider-Man,Shrek,Shrek,United 93,Inside Out,Hope Floats,Hope Floats,The Campaign,Halloween: The Curse of Michael Myers,Jumanji: The Next Level,Grown Ups 2,Boyz n the Hood,Thirteen,Jumanji: The Next Level,Hustlers,The Holiday,12 Strong,Deck the Halls,Deck the Halls,Identity Thief,Space Jam: A New Legacy,The Dry,The World's End,Space Jam: A New Legacy,The Hangover Part III,A Man Apart,Spider-Man: Homecoming,Space Jam: A New Legacy,Hitman's Wife's Bodyguard,Matilda,Megalodon Rising,Deadlock,Don't Breathe 2,Jumper,Waist Deep,Don't Breathe 2,Jumanji: Welcome to the Jungle,Spider-Man: Homecoming,47 Ronin,Ida Red,Mr. Deeds,Fantastic Beasts: The Secrets of Dumbledore,Immanence,Matilda,For the Love of Money,Talladega Nights: The Ballad of Ricky Bobby,Venom: Let There Be Carnage,Hellboy,Homefront,Not Okay,Predators,Spider-Man: No Way Home,!Three Amigos!,Infinite Storm,Divergent,The 40 Year Old Virgin,I Think We're Alone Now,Zombieland: Double Tap,Gone Mom: The Disappearance of Jennifer Dulos,Scream,Antlers,Antlers,The Good Neighbor,A Million Ways to Die in the West,God Forbid: The Sex Scandal That Brought Down a Dynasty,Jumanji: Welcome to the Jungle,The Scorpion King: Book of Souls,The Scorpion King: Book of Souls,The Scorpion King: Book of Souls,Collide,The Equalizer,The Equalizer 2,Couples Retreat,Immortals,Immortals,Immortals,Immortals,War of the Worlds,Rio,The Equalizer,Jumanji: The Next Level,Watcher,Venom: Let There Be Carnage,Everything Everywhere All at Once,Despicable Me 2,Rift,Despicable Me 2,Despicable Me 2,Paradise City,Focus
Night of the Living Dead,Abraham Lincoln: Vampire Hunter,Hulk,Frozen,Meet the Blacks,Jumanji: The Next Level,Jumanji: The Next Level,The Kitchen,The Mummy,Burn,Burn,Night of the Living Dead,8 Mile,Trolls World Tour,Trolls World Tour,Sonic the Hedgehog,Hot Tub Time Machine,Dodgeball: A True Underdog Story,The State of Texas vs. Melissa,Bad Boys for Life,The A-Team,Ted,Diary of a Mad Black Woman,Red Dawn,Hustlers,Bad Boys for Life,Shrek,The Fast and the Furious,Space Jam,Four Brothers,Trolls World Tour,Life,Tom &amp; Jerry,Space Jam,Hotel Transylvania,Shrek,We Broke Up,Kick-Ass,The Blind Side,Oblivion,Gangster Squad,Blithe Spirit,Blithe Spirit,Outbreak,Spiral: From the Book of Saw,Bad Boys for Life,National Security,The Croods: A New Age,Grown Ups 2,Last Holiday,The Holiday,Jumanji: The Next Level,Casino,Hustlers,Hustlers,Jumanji: Welcome to the Jungle,Welcome Home Roscoe Jenkins,Forrest Gump,Dirty Grandpa,The Proposal,You Again,Werewolves Within,Space Jam: A New Legacy,Ted,Space Jam: A New Legacy,The Wood,Notorious,Don't Breathe 2,Grown Ups 2,The Hating Game,Thor: The Dark World,Matilda,Last Survivors,Casino,Matilda,Fifty Shades of Black,The Batman,Ride Along,The Free Fall,The Ledge,Talladega Nights: The Ballad of Ricky Bobby,Matilda,Spider-Man: No Way Home,Let's Go to Prison,Matilda,Despicable Me,Hotel Transylvania,Spider-Man: Homecoming,Jumanji: Welcome to the Jungle,Elvis,Hot Tub Time Machine,The Godfather,Good Mourning,Ghostbusters: Afterlife,X,Halloween Kills,Crawlspace,Crawlspace,Spider-Man: No Way Home,"Confess, Fletch",Twilight,Summer of Sam,Everything Everywhere All at Once,Everything Everywhere All at Once,Everything Everywhere All at Once,Jingle All the Way,22 Jump Street,Everything Everywhere All at Once,The Commando,One Way,One Way,One Way,One Way,Madea Goes to Jail,Jumanji: The Next Level,The Unbearable Weight of Massive Talent,The Unbearable Weight of Massive Talent,Triangle of Sadness,The Help,The Enforcer,Despicable Me,John Tucker Must Die,Hunter Killer,Hunter Killer,Blood,Spider-Man: No Way Home
