title,imdb_id
Queenpins,tt9054192
Selena,tt0120094
Think Like a Man Too,tt2239832
Gold,tt6020800
The Desperate Hour,tt13133936
Spencer,tt12536294
Abandon,tt2980152
The Wedding Ringer,tt0884732
kid 90,tt14035292
Hide and Seek,tt0382077
Hitman's Wife's Bodyguard,tt8385148
Blood,tt13280054
Private Property,tt15167994
Logan,tt3315342
Becky,tt10314450
Clerks III,tt11128440
Snitch,tt0882977
Paul,tt1092026
Spider-Man,tt0145487
Darby and the Dead,tt15745226
The Call,tt10530176
Jeepers Creepers 2,tt0301470
Wrath of the Titans,tt1646987
The Five Heartbeats,tt0101891
The Resort,tt12163074
The Tax Collector,tt8461224
That Awkward Moment,tt1800246
The Princess,tt0093779
Paid in Full,tt0259484
Paradise Highway,tt7469828
The Good Dinosaur,tt1979388
Teenage Mutant Ninja Turtles: Out of the Shadows,tt3949660
Lullaby,tt11891246
Meet the Blacks,tt4191580
Deadpool 2,tt5463162
Hulk,tt0286716
Christmas with the Kranks,tt0388419
Free Guy,tt6264654
The Last Shift,tt10661180
Zola,tt5439812
Deck the Halls,tt0790604
Girl,tt9392374
News of the World,tt6878306
Die Hard,tt0095016
Colombiana,tt1657507
Elvis,tt3704428
Alvin and the Chipmunks,tt0952640
Four Brothers,tt0430105
Good Mourning,tt15331186
Inside Out,tt2096673
Mortal Kombat,tt0293429
Nomadland,tt9770150
The Sandlot,tt0108037
Van Helsing,tt0338526
Unplugging,tt10314040
Lottery Ticket,tt0979434
The Addams Family,tt0101272
State Property 2,tt0403537
The Little Things,tt10016180
Old Henry,tt12731980
Shallow Hal,tt0256380
Student Body,tt0083133
Burden,tt5314450
Waist Deep,tt0456020
Black Death,tt1181791
Bromates,tt15131130
Neighbors,tt2004420
The House Next Door: Meet the Blacks 2,tt7524444
Fall,tt15325794
Bloodshot,tt1634106
Phobias,tt8129682
Love and Monsters,tt2222042
Grown Ups,tt1375670
Girl in the Shed: The Kidnapping of Abby Hernandez,tt16532174
You Again,tt1414382
Mr. &amp; Mrs. Smith,tt0356910
Robin Hood,tt4532826
The SpongeBob SquarePants Movie,tt0345950
Blithe Spirit,tt10334148
Godzilla: King of the Monsters,tt3741700
Triangle of Sadness,tt7322224
Oblivion,tt1483013
Madea Goes to Jail,tt1142800
8 Mile,tt0298203
White House Down,tt2334879
Venom,tt1270797
Son in Law,tt0108186
Spider-Man: No Way Home,tt10872600
The Little Rascals Save the Day,tt2490004
Outbreak,tt0114069
John and the Hole,tt11307724
Caged,tt1736555
Human Resources,tt9085008
Frozen,tt2294629
Dragon Ball Super: Broly,tt7961060
Why Did I Get Married Too?,tt1391137
WeWork: or The Making and Breaking of a $47 Billion Unicorn,tt11188154
House of Darkness,tt18224610
Get Rich or Die Tryin',tt0430308
War of the Worlds,tt0407304
Talladega Nights: The Ballad of Ricky Bobby,tt0415306
Daughter of the Wolf,tt7615052
White Chicks,tt0381707
The Hunt,tt8244784
King Richard,tt9620288
The Last Son,tt1800393
Robots,tt12579470
Matilda,tt0117008
New Jersey Drive,tt0113967
Hope Floats,tt0119313
Machine Gun Kelly's Life In Pink,tt21064272
The Wolf of Wall Street,tt0993846
Antebellum,tt10065694
The Other Woman,tt2203939
Crawlspace,tt0090881
Supercool,tt10055546
Ghost Ship,tt0288477
Hotel Transylvania,tt0837562
The Misfits,tt4876134
Space Jam: A New Legacy,tt3554046
Prancer,tt0098115
Mr. Deeds,tt0280590
The Legend of Hercules,tt1043726
Ice Age: Dawn of the Dinosaurs,tt1080016
Spider-Man 2,tt0316654
Grown Ups 2,tt2191701
The Ringer,tt0267891
Roll Bounce,tt0403455
Master and Commander: The Far Side of the World,tt0311113
Alone,tt7711170
Deep Water,tt2180339
Watcher,tt12004038
Rift,tt13316348
Underwater,tt5774060
Vacation Friends,tt3626476
Spin Me Round,tt14596320
13 Minutes,tt9274670
Juice,tt0104573
Boss Level,tt7638348
Shadow in the Cloud,tt9691136
The Unholy,tt9419056
Hustlers,tt5503686
Boston Strangler,tt2560078
Jumanji: The Next Level,tt7975244
Cobra,tt0090859
The Blind Side,tt0878804
Hellboy,tt2274648
1917,tt8579674
Spiral: From the Book of Saw,tt10342730
!Three Amigos!,tt0092086
Kick-Ass,tt1250777
Broken City,tt1235522
Dracula Untold,tt0829150
The Hobbit: An Unexpected Journey,tt0903624
Amish Witches: The True Story of Holmes County,tt6079304
Measure of Revenge,tt9075388
The Retreat,tt11392272
The Requin,tt11348232
"Confess, Fletch",tt12718300
Belly,tt0158493
47 Ronin,tt1335975
Witch Hunt,tt10160974
The Batman,tt1877830
World War Z,tt0816711
Scarface,tt0086250
Collide,tt17527124
