title,imdb_id
Mulholland Drive,tt0166924
But Im A Cheerleader,MISSING
12 Angry Men,tt0050083
Stalker,tt0079944
Come And See,tt0091251
Basic Instinct,tt0103772
Hannibal 1 Manhunter,MISSING
The Graduate,tt0061722
Eo,MISSING
Synecdoche New York,tt0383028
The French Connection,tt0067116
Seven Samurai,tt0047478
Cure,tt0123948
Lost Highway,tt0116922
The Third Man,tt0041959
Paris Texas,tt0087884
House,tt0076162
The Vanishing,tt4131496
Dogtooth,tt1379182
The General,tt0120706
Cool Hand Luke,tt0061512
Boyhood,tt1065073
Antichrist,tt0870984
Reds,tt0082979
Tokyo Story,tt0046438
No Bears,tt20205236
M,tt0022100
The Player,tt0105151
Mishima A Life In Four Chapters,tt0089603
Jeanne Dielman 23 Quai Du Commerce 1080 Bruxelles,tt0073198
Mysterious Skin,tt0370986
Three Ages,MISSING
Funny Games,tt0119167
Our Hospitality,MISSING
Dressed To Kill,tt0080661
Night Of The Living Dead,tt0063350
Party Girl,tt0114095
Fantastic Planet,tt0070544
Hua Yang Nian Hua,MISSING
Jabberwocky,tt0076221
Brief Encounter,tt0037558
Until The End Of The World,tt0101458
Yi Yi,MISSING
Certain Women,tt4468634
Withnail And I,tt0870218
To Live,tt0110081
The Witches,tt0805647
The Great Beauty,tt2358891
The 400 Blows,tt0053198
Jing Cha Gu Shi Iii Chao Ji Jing Cha,MISSING
All About Eve,tt0042192
Five Easy Pieces,tt0065724
Breathless,tt0053472
In The Heat Of The Night,tt0061811
Playtime,tt0062136
Neptune Frost,tt11873472
Single White Female,tt0105414
The Haunting,tt0057129
The Seventh Seal,tt0050976
Coffee And Cigarettes,tt0379217
For All Mankind,tt0097372
Infernal Affairs,tt0338564
The Last Emperor,tt0093389
Elevator To The Gallows,tt0051378
The Elephant Man,tt0080678
Irma Vep,tt13649314
Scenes From A Marriage,tt12682218
Beau Travail,tt0209933
Walkabout,tt0067959
The Long Good Friday,tt0081070
Merry Christmas Mr Lawrence,tt0085933
Pandoras Box,tt0285869
Inland Empire,tt0460829
Che Part 1,tt0892255
My Dinner With Andre,tt0082783
Secret Sunshine,tt0817225
Sweet Sweetbacks Baadasssss Song,tt0067810
Sympathy For Mr Vengeance,tt0310775
The Fisher King,tt0101889
Rodan The Flying Monster,MISSING
Chungking Express,tt0109424
In The Cut,tt0199626
I Called Him Morgan,tt4170344
Twin Peaks The Movie,MISSING
The Misfits,tt4876134
La Haine,tt0113247
Europa Europa,tt0099776
Body Double,tt0086984
Crimes Of The Future,tt14549466
Frances Ha,tt2347569
Time Bandits,tt0081633
The Innocent,tt4028464
Eraserhead,tt0074486
Contempt,tt0057345
Phoenix,tt2764784
Gentlemen Prefer Blondes,tt0045810
King Of New York,tt0099939
Eight And A Half,MISSING
Paris Is Burning,tt0100332
Computer Chess,tt2007360
Ghost Dog The Way Of The Samurai,tt0165798
Solyaris,tt0069293
Scanners,tt0081455
Jade,tt0113451
Carnal Knowledge,tt0066892
Society,tt0098354
Bicycle Thieves,tt0040522
Mona Lisa,tt0091538
A Hard Days Night,tt0058182
Black Narcissus,tt0039192
Slacker,tt0240900
Jimi Plays Monterey,tt0093312
The Heroic Trio,tt0105619
Persona,tt7920978
A Room With A View,tt0091867
Diabolique,tt0046911
Night And Fog,tt0048434
High And Low,tt0057565
Godzilla,tt0047034
Take And Run,tt0065063
Blood Simple,tt0086979
The Last Seduction,tt0110308
Gates Of Heaven,tt0077598
Hive,tt13648212
Stagecoach,tt0031971
The Gleaners And I,tt0345128
Sympathy For Lady Vengeance,MISSING
Margot At The Wedding,tt0757361
Tampopo,tt0092048
Fallen Angels,tt0112913
Night Moves,tt0073453
Close Up,tt0100234
Rashomon,tt0042876
La Fiera De Mi Nina,MISSING
Hale County This Morning This Evening,tt6634646
Knightriders,tt0082622
Mikey And Nicky,tt0074901
Boy And The World,tt3183630
Wheel Of Fortune And Fantasy,tt14034966
A Woman Under The Influence,tt0072417
Cronos,tt0104029
Whats Up Doc,tt0069495
On The Waterfront,tt0047296
Amarcord,tt10264444
Eyes Without A Face,tt0053459
Modern Times,tt0027977
Cleo From 5 To 7,tt0055852
Beast,tt13223398
Gimme Shelter,tt0065780
Crimes Of Passion,tt0087100
Stranger Than Paradise,tt0088184
Tetsuo The Iron Man,tt0096251
Throne Of Blood,tt0050613
The Last Days Of Chez Nous,tt0104685
Secret Honor,tt0088074
Flesh And Blood,tt9704798
Mississippi Masala,tt0102456
Floating Weeds,tt0053390
Days Of Being Wild,tt0101258
The Rules Of The Game,tt0031885
To Die For,tt0114681
Picnic At Hanging Rock,tt0073540
Homicide,tt0054988
Tungrus,tt7379466
Dead Man,tt0112817
Vivre Sa Vie,tt0056663
Aguirre The Wrath Of God,tt0068182
Weekend,tt1714210
The Life And Death Of Colonel Blimp,tt0036112
An Angel At My Table,tt0099040
Police Story,tt0089374
Things To Come,tt4120176
When We Were Kings,tt0118147
Basket Case,tt0083624
The Red Shoes,tt0040725
Revanche,tt1173745
The Hidden Fortress,tt0051808
Mystery Train,tt0097940
Two Friends,tt4176556
Topsy Turvy,tt0151568
The Thin Blue Line,tt0096257
The 39 Steps,tt0026029
Original Cast Album Company,tt0293475
Sweetie,tt0098725
Three Colors Red,tt0111495
Color Of Night,tt0109456
Vive Lamour,MISSING
The Fabulous Baron Munchausen,tt0054665
Summertime,tt4080768
Ratcatcher,tt0171685
Sky Over Berlin,MISSING
Le Doulos,tt0054821
Clean Shaven,tt0106579
The Umbrellas Of Cherbourg,tt0058450
The Great Dictator,tt0032553
The Piano Teacher,tt0254686
Equinox,tt0067055
Harlan County U S A,MISSING
Great Expectations,tt13068346
The Kid Brother,tt0093338
Black Moon,tt0072709
Down By Law,tt0090967
The Blob,tt0051418
Alice Doesnt Live Here Anymore,MISSING
Celluloid Man,tt2190196
The Stranger,tt0101279
The Gold Rush,tt5315418
Fox And His Friends,tt0072976
Watership Down,tt0078480
Lucky Life,tt1206314
Robinson Crusoe,tt0044386
Lavventura,MISSING
Six Degrees Of Separation,tt0108149
The Bodyguard,MISSING
Cameraperson,tt5375040
Peter And The Wolf,MISSING
The Lady Vanishes,tt0030341
Safe,tt0114323
Happy Together,tt0118845
The Virgin Spring,tt0053976
Gomorrah,tt0929425
Let The Sunshine In,tt6423776
Let There Be Light,tt5804314
Claires Knee,tt0065772
Masculin Feminin,tt0060675
Charlie Chaplin The Kid,MISSING
Jules And Jim,tt0055032
Japan,tt0469925
Miami Blues,tt0100143
Battleship Potemkin,tt1520860
Wild Strawberries,tt0050986
Chan Is Missing,tt0083728
A Place In The Sun,tt0043924
The Battle Of Algiers,tt0058946
Police Story 2,tt0095403
Charlie Chaplin City Lights,MISSING
Fanny And Alexander,tt0083922
Home,tt1319569
After Life,tt0165078
Orion The Man Who Would Be King,tt4468132
The Killing Of A Chinese Bookie,tt0074749
Taste Of Cherry,tt0120265
Singapore Sling,tt0100623
The Lure,tt5278832
Corridors Of Evil,MISSING
The Ear,tt0066498
The Pawnbroker,tt0059575
The Mirror,tt0117056
The Swamp,tt12762002
Six Men Getting Sick Six Times,MISSING
The Ghost Of Peter Sellers,tt4857058
Lord Of The Flies,tt0100054
In The Realm Of The Senses,tt0074102
Sleepwalk,tt0105428
The Atomic Submarine,tt0052587
Safety Last,tt3665492
Working Girls,tt0096463
The Most Beautiful Boy In The World,tt8801666
Faya Dayi,tt13648216
Scarlet Street,tt0038057
Harakiri,tt0056058
The Naked Kiss,tt0058390
Fish Tank,tt1232776
Space Is The Place,tt0072195
Hoop Dreams,tt0110057
Five Corners,tt0093029
Zazie Dans Le Metro,tt0054494
The Most Dangerous Game,tt15822738
Me And You And Everyone We Know,tt0415978
The Freshman,tt0015841
Red Beard,tt0058888
Tomboy,tt1847731
Quadrophenia,tt0079766
La Notte,tt0054130
Vernon Florida,tt0083281
Good Morning,tt0053134
The Seven Year Itch,tt0048605
La Strada,tt0047528
Certified Copy,tt1020773
Lucia,tt0064609
Bad Timing A Sensual Obsession,tt0080408
Blue,tt0106438
Donbass,tt8282042
Niagara,tt0046126
The Browning Version,tt0043362
Moonlighting,tt4975722
Pather Panchali,tt0048473
And The Pursuit Of Happiness,tt0092561
The Beales Of Grey Gardens,tt0839739
The Cars That Ate Paris,tt0071282
Three Colors White,tt0111507
Ornamental Hairpin,tt0427424
Chocolat,tt0094868
Call Me,tt0094827
Asako I And Ii,MISSING
The Exterminating Angel,tt0792948
Brain Damage,tt0094793
A Brief History Of Time,tt0103882
Killers On Parade,tt0054107
Floyd Norman An Animated Life,tt5507860
Grand Illusion,tt0028950
Pick Pocket,tt0320275
Cria Cuervos,tt0074360
Royal Warriors,tt0091229
Every Man For Himself,tt0079854
Humanity,tt0197569
This Is Not A Burial Its A Resurrection,tt10849514
The Swimming Pool,MISSING
Tri Orisky Pro Popelku,MISSING
The Young Master,tt0081499
To Be Or Not To Be,tt0035446
White Material,tt1135952
Sabotage,tt0028212
Danton,tt0083789
Salesman,tt5186714
Smooth Talk,tt0090037
Vengeance Is Mine,tt11650226
Yumeji,tt0103316
45 Years,tt3544082
The Woman Next Door,tt0082370
Black Orpheus,tt0053146
Three Colors Blue,tt0108394
Spirits Of The Dead,tt0063715
I Was Born But,tt0023634
Daughters Of Darkness,tt0067690
Involuntary,tt1232826
A Brighter Summer Day,tt0101985
The Devils Harmony,MISSING
Wise Blood,tt0080140
Hands Over The City,tt0057286
Sisters,tt0070698
Desert Hearts,tt0089015
As Long As Youve Got Your Health,MISSING
Le Samourai,tt0062229
Tom Jones,tt15398980
A Day In The Country,MISSING
The Red Balloon,tt2952408
First Man Into Space,tt0052805
The War Room,tt0108515
Kamikaze Hearts,tt0091323
Ghidrah The Three Headed Monster,MISSING
Dream Lover,tt0109665
The Harder They Come,tt0070155
Drunken Angel,tt0040979
Hour Of The Wolf,tt0063759
All Small Bodies,MISSING
Streetwise,tt0088196
The Brood,tt0078908
Bennys Video,tt0103793
Summer With Monika,tt0046345
Dry Wood,tt0070005
That Hamilton Woman,tt0034272
Katzelmacher,tt0064536
Last Day Of Freedom,tt4172096
Betty Blue,tt0090563
The Above,tt1880377
On Gaku Our Sound,tt10487722
Chavela,tt6217664
Water Lilies,tt0869977
How To Marry A Millionaire,tt0045891
Babettes Feast,tt0092603
The Sweet Hereafter,tt0120255
Summer Hours,tt0836700
The Shooting,tt0062262
Modern Romance,tt0082764
The Private Life Of Henry Viii,tt0024473
To The Ends Of The Earth,tt0435995
Aheds Knee,tt12494638
Victim,tt0055597
The Beaches Of Agnes,tt1129435
Frownland,tt0970935
Godzilla Vs Monster Zero,MISSING
The Thief Of Bagdad,tt0033152
Dont Look Back,tt0061589
49Th Parallel,tt0033627
War And Peace Part I Andrei Bolkonsky,tt0059884
Kuroneko,MISSING
Heart Of A Dog,tt0096126
The Guitar Mongoloid,MISSING
Le Bonheur,tt0058985
Nostalghia,tt0086022
The End Of Summer,tt0055052
Atlantas Olympic Glory,tt0117237
Odd Man Out,tt0039677
Infernal Affairs Iii,tt0374339
Clouds Of Sils Maria,tt2452254
Dont Bother To Knock,MISSING
Detour,tt0037638
Chimes At Midnight,tt0059012
The Connection,tt0067116
Songs From The Second Floor,tt0120263
Mad Dog Morgan,tt0074836
Law Of The Border,tt0261739
Knife In The Water,tt0056291
An Autumn Afternoon,tt0056444
The Face Of Another,tt0061065
Belle De Jour,tt0061395
The Double Life Of Veronique,tt0101765
Rome Open City,tt0038890
Winchester 73,tt0043137
Hogs And Warships,MISSING
The X From Outer Space,tt0062411
The Celebration,tt0154420
Breaking The Waves,tt0115751
The Bitter Tears Of Petra Von Kant,tt0068278
Metropolitan,tt0100142
Chafed Elbows,tt0138355
The Marriage Of Maria Braun,tt0079095
Magnificent Warriors,MISSING
The Anniversary Party,tt0254099
Steamboat Bill Jr,MISSING
Hearts And Minds,tt0071604
Stray Dog,tt0041699
Leclisse,MISSING
Matango,tt0057295
Sansho The Bailiff,tt0047445
Lola,tt0082671
I Am Curious Yellow,tt0061834
Throw Down,tt0415380
The Strange One,tt0051019
The Horses Mouth,tt0051739
When Pigs Fly,tt0108554
The Phantom Carriage,MISSING
A Man Escaped,tt0049902
Cries And Whispers,MISSING
Buena Vista Social Club,tt0186508
Ghost Stories,tt5516328
The Lodger A Story Of The London Fog,MISSING
Andrei Rublev,tt0060107
Fat Girl,tt0243255
Red Desert,tt0058003
Vagabond,tt0089960
Old Joy,tt0468526
Beyond The Hills,tt2258281
A Man There Was,MISSING
Tears On The Lions Mane,MISSING
The Petrified Forest,tt0070528
Milford Graves Full Mantis,tt8014482
Godzillas Revenge,tt12861912
Tie Me Up Tie Me Down,tt0101026
Woman In The Dunes,tt0058625
Hiroshima Mon Amour,tt0052893
The Wages Of Fear,tt0046268
Early Summer,tt0043313
The Reagan Show,tt6710658
Colossal Youth,tt0460480
Murmur Of The Heart,tt0067778
Capricious Summer,tt0063527
Rocco And His Brothers,tt0054248
Mr Arkadin The Corinth Version,MISSING
I Married A Witch,tt0034881
Hopscotch,tt0080889
Hair Wolf,MISSING
The Soft Skin,tt0058458
And God Created Woman,tt0049189
My Name Is Ivan,MISSING
The Passion Of Joan Of Arc,tt15751782
The Hit,tt0087414
Kapo,tt0052961
Sandakan No 8,MISSING
Lone Wolf And Cub Sword Of Vengeance,tt0068815
Black River,tt0134771
When We Lived In Miami,MISSING
Valerie And Her Week Of Wonders,tt0066516
The Fire Within,tt0057058
Seduced And Abandoned,tt0058564
Mr Klein,tt0074916
Mr Freedom,tt0064674
Bluebeard,MISSING
Wren Boys,MISSING
Late Spring,tt0041154
The Young Girls Of Rochefort,tt0062873
Dodeska Den,MISSING
Au Hasard Balthazar,tt0060138
A Special Day,tt0076085
Sans Soleil,tt0084628
Ordet,tt0048452
The Perfect Candidate,tt6971114
The Testament Of Dr Mabuse,tt0023563
Pygmalion,tt0030637
Angela,tt0112364
Witchhammer,tt0064546
I Was A Teenage Zombie,tt0093238
