title,imdb_id
Avatar 2,MISSING
Shazam Fury Of The Gods,tt10151854
Reality,tt24068064
The Menu,tt9764362
Dune,MISSING
Evil Dead,tt0083907
Kingsman The Secret Service,tt2802144
Edge Of Tomorrow,tt1631867
Moneyball,tt1210166
The Banshees Of Inisherin,tt11813216
Parasite,tt6751668
Memento,tt0209144
Hereditary,tt7784604
Barbarian,tt15791034
Harry Potter And The Philosophers Stone,tt14149634
The Departed,tt0407887
Casino Royale Uncut Edition,MISSING
Goodfellas,tt0099685
The Evil Dead,tt0083907
Lord Of The Rings I The Fellowship Of The Ring,MISSING
Ready Player One,tt1677720
The Terminator,tt0088247
Oceans Eleven,tt0240772
The Matrix,tt0133093
Blazing Saddles,tt0071230
Magic Mikes Last Dance,tt16280138
Office Space,tt0151804
The French Dispatch,tt8847712
The Shining,tt0081505
Ex Machina,tt0470752
The Town,tt0840361
Step Brothers,tt0838283
The Batman,tt1877830
Breach,tt0401997
Catch Me If You Can,tt0264464
Evil Dead Ii,tt0092991
The Silence Of The Lambs,tt0102926
Hommes En Noir,MISSING
Crazy Rich Asians,tt3104988
Army Of Darkness,tt0106308
Dumb And Dumber,tt0109686
Chef,tt2883512
Dog Day Afternoon,tt0072890
Gone Girl,tt2267998
Shazam,tt0448115
Airplane,tt0080339
Batman The Dark Knight,tt11060882
How The Solar System Was Won,MISSING
The Hole In The Ground,tt6198946
Lego The Piece Of Resistance,MISSING
Green Mile The,MISSING
Napoleon Dynamite,tt0374900
3 10 To Yuma,tt0381849
Fantastic Mr Fox,tt0432283
Elvis,tt3704428
Spotlight,tt1895587
Stalker,tt0079944
Black Adam,tt6443346
Moonage Daydream,tt9883832
Being Mary Tyler Moore,tt26084136
Donnie Darko Directors Cut,MISSING
Casablanca,tt0034583
The Wizard Of Oz,tt0032138
Draft Day,tt2223990
Dont Worry Darling,MISSING
Greenland,tt7737786
Under The Skin,tt1441395
Grease,tt0077631
A Star Is Born,tt1517451
Fifty Shades Of Grey,tt2322441
The Drop,tt1600196
Coraline,tt0327597
The Cabin In The Woods,tt1259521
La Chaqueta Metalica,MISSING
Spirited Away,tt0245429
Unforgiven,tt0105695
Man On Fire,tt0328107
Insidieux,MISSING
Fifty Shades Darker,tt4465564
Ennemi,MISSING
The Witch,tt6186362
Drop Dead Gorgeous,tt0157503
Moonlight,tt4975722
Burn After Reading,tt0887883
The Lobster,tt3464902
Some Like It Hot,tt0053291
The Lego Batman Movie,tt4116284
Temple Grandin,tt1278469
Bama Rush,tt21814814
Batman,MISSING
Canterbury Glass,MISSING
Conjuring The,MISSING
Moonfall,tt5834426
Trouble With The Curve,tt2083383
The Man From U N C L E,MISSING
Braveheart,tt0112573
The Right Stuff,tt0086197
Tina,tt8399720
Joker,tt7286456
Kung Fu Panda,tt0441773
It,tt1396484
Nightcrawler,tt2872718
The Fallout,tt11847410
Bottle Rocket,tt0115734
Eastern Promises,tt0765443
Talladega Nights,tt0415306
The Three Amigos,tt0301934
Batman Begins,tt0372784
Dodgeball A True Underdog Story,tt0364725
Le Destructeur,MISSING
50 First Dates,tt0343660
The Exorcist,tt0070047
The Outsiders,tt0086066
Strange Days,tt0114558
Knock Knock,tt3605418
Calvary,tt2234003
Young Frankenstein,tt0072431
Howls Moving Castle,tt0347149
Scary Movie,tt0175142
Escape From Tehran,MISSING
Godzilla King Of The Monsters,tt3741700
Last Night In Soho,tt9639470
Mid90S,tt5613484
Limitless,tt1219289
Birdman,tt5130912
The Devils Advocate,tt0118971
Signs,tt0286106
Tommy Boy,tt0114694
The Hurt Locker,tt0887912
A Clockwork Orange,tt0066921
Weathering With You,tt9426210
Chicago The Musical,MISSING
Black Mass,tt1355683
Orphan,tt1148204
First Reformed,tt6053438
Old,tt10954652
Unbreakable,tt0217869
The Card Counter,tt11196036
500 Days Of Summer,tt1022603
Constantine,tt0360486
Death On The Nile,MISSING
Seven Samurai,tt0047478
The Night House,tt9731534
The Suicide Squad,tt6334354
Legion Of Super Heroes,tt22769820
Miss Sunshine,tt0449059
Sinister,tt1922777
Gremlins 1,MISSING
Smokin Aces,tt0475394
X Men Days Of Future Past,tt1877832
All The Presidents Men,tt0074119
The Hobbit An Unexpected Journey,tt0903624
See How They Run,tt13640696
Fifty Shades Freed,tt4477536
Lawrence Of Arabia,tt0056172
Waynes World,tt0105793
The Dark Knight Rises,tt1345836
Blue Velvet,tt0090756
All The Beauty And The Bloodshed,tt21374850
Magic Mike,tt1915581
Armageddon,tt0120591
The Maze Runner,tt1790864
Lucy,tt2872732
Invasion Of The Body Snatchers,tt0077745
The Master,tt1560747
Pearl Harbor,tt0213149
Gravity,tt1454468
Green Room,tt4062536
Man Of Steel,tt0770828
Blue Valentine,tt1120985
District 9,tt1136608
Watchmen,tt0409459
North By Northwest,tt0053125
The Lord Of The Rings The Two Towers,tt0167261
Run All Night,tt2199571
The Family,tt2404311
The Host,tt1517260
My Neighbor Totoro,tt0096283
Swiss Army Man,tt4034354
Harry Potter And The Prisoner Of Azkaban,tt0304141
Raging Bull,tt0081398
Suddenly 30,MISSING
My Big Fat Greek Wedding,tt0259446
Malignant,tt3811906
Team America World Police,tt0372588
The Craft,tt0115963
Jfk,MISSING
The Return Of The King,tt0079802
The Color Purple,tt0088939
Paris Texas,tt0087884
Law Abiding Citizen,tt1197624
Jennifers Body,tt1131734
Hairspray,tt0095270
Juno,tt0467406
The Maltese Falcon,tt0033870
The Matrix Resurrections,tt10838180
Slumdog Millionaire,tt1010048
Lone Survivor,tt1091191
Spring Breakers,tt2101441
Little Shop Of Horrors,tt0091419
House,tt0076162
Shiva Baby,tt11317142
Harry Potter And The Goblet Of Fire,tt0330373
Hunter Killer,tt1846589
Room,tt3170832
Bloodsport I,MISSING
The Vanishing,tt0108473
From Dusk Till Dawn 1,MISSING
San Andreas,tt2126355
Network,tt0074958
Zack Snyders Justice League,tt12361974
War Of The Worlds,tt0407304
Platoon,tt0091763
Fantastic Beasts 3,MISSING
Love To Love You Donna Summer,tt16442822
The Fly,tt0091064
Harry Potter And The Half Blood Prince,tt0417741
The Last 10 Years,tt16444750
Michael Clayton,tt0465538
Godzilla Vs Kong,tt5034838
Harry Potter And The Chamber Of Secrets,tt0295297
This Place Rules,tt23950956
It Chapter Two,tt7349950
Eighth Grade,tt7014006
Fantastic Beasts And Where To Find Them,tt3183660
Paper Moon,tt0070510
Knowing,tt0448011
Empire Of Light,tt14402146
Wild,tt2305051
Stardust,tt0486655
The Blue Lagoon,tt0080453
Indecent Proposal,tt0107211
Dc League Of Super Pets,tt8912936
Belfast,tt12789558
Sliding Doors,tt0120148
Force Majeure,tt2121382
Aquaman,tt1477834
Drive My Car,tt14039582
Edward Scissorhands,tt0099487
Tokyo Story,tt0046438
Jupiter Ascending,tt1617661
Cop Land,tt0118887
Men In Black Ii,tt0120912
Harry Potter And The Deathly Hallows Part 2,tt1201607
Mean Streets,tt0070379
Gone Baby Gone,tt0452623
Harry Potter And The Order Of The Phoenix,tt0373889
Navalny,tt17041964
M I I I B,MISSING
The Circle,tt4287320
Mona Lisa Smile,tt0304415
Predator,tt0093773
Footloose,tt0087277
Long Shot,tt2139881
M,tt0022100
Wonder Woman,tt0451279
Reminiscence,tt3272066
The Player,tt0105151
The Lodge,tt7347846
Lets Make Friends,MISSING
Heartbreak Ridge,tt0091187
Super Sapiens,MISSING
Collateral Beauty,tt4682786
American Honey,tt3721936
Speed Racer,tt0811080
Godzilla,tt0047034
Geostorm,tt1981128
Jeanne Dielman 23 Quai Du Commerce 1080 Bruxelles,tt0073198
Just Friends,tt0433400
Funny Games,tt0119167
Harry Potter 7 Deathly Hallows Part 1,MISSING
The Little Things,tt10016180
The Blackcoats Daughter,tt3286052
Sleepy Hollow,tt0162661
Divergent,tt1840309
Justice League,tt0974015
How The Grinch Stole Christmas,tt0170016
Magic Mike Xxl,tt2268016
Hellraiser Iii Hell On Earth,tt0104409
King Richard,tt9620288
I Origins,tt2884206
Fantastic Beasts The Crimes Of Grindelwald,tt4123430
Blow,tt0221027
Birds Of Prey And The Fantabulous Emancipation Of One Harley Quinn,tt7713068
Shallow Grave,tt0111149
Whats Eating Gilbert Grape,tt0108550
Lord Of The Rings Return Of The King Extended Edition,tt21811606
Robin Hood Men In Tights,tt0107977
Bull Durham,tt0094812
Night Of The Living Dead,tt0063350
Dirty Harry,tt0066999
Childs Play,tt0094862
My Bloody Valentine,tt1179891
Those Who Wish Me Dead,tt3215824
Fantastic Planet,tt0070544
Hua Yang Nian Hua,MISSING
Walk The Line,tt0358273
Lean On Me,tt0097722
The Princess,tt13406136
Aqua Teen Forever Plantasm,tt14636190
Halloween Kills,tt10665338
Downton Abbey,tt6398184
8 Bit Christmas,tt11540284
Hellboy,tt2274648
Assassini Nati Natural Born Killers,MISSING
All That Breathes,tt16377862
The House Bunny,tt0852713
Goldeneye,tt0113189
The Crazies,tt0455407
A Most Violent Year,tt2937898
Dude Wheres My Car,tt0242423
The Verdict,tt0084855
Brief Encounter,tt0037558
1 2 3 All Eyes On Me,MISSING
The Searchers,tt0049730
Land Of Gold,tt14597532
Red 2,MISSING
Conspiracy Theory,tt0118883
Across The Universe,tt0445922
Radio,tt0316465
Singin In The Rain,tt0045152
Mortal Kombat,tt0293429
Dont Tell Mom The Babysitters Dead,MISSING
Coma,tt1118072
Cobra,tt0090859
My Big Fat Greek Wedding 2,tt3760922
Hustle And Flow,MISSING
Knocked Up,tt0478311
Withnail And I,tt0870218
The Yakuza,tt0073918
To Live,tt0110081
Gone With The Wind,tt0031381
The Witches,tt0805647
House Party,tt8005118
Exodus Gods And Kings,tt1528100
Hot Tub Time Machine,tt1231587
Malcolm X,tt0104797
Blue Bayou,tt11121664
The Hobbit Part 2,MISSING
Sin City,tt0401792
The Great Beauty,tt2358891
Trick Or Treat Scooby Doo,tt21919270
Tony Hawk Until The Wheels Fall Off,tt16118722
The 400 Blows,tt0053198
Just Mercy,tt4916630
Insidious Chapter 2,tt2226417
Breathless,tt0053472
Taking Chance,tt1019454
Hellraiser Bloodline,tt0116514
Deep Cover,tt0104073
Butch Cassidy And The Sundance Kid,tt0064115
The Forever Purge,tt10327252
Romeo And Juliet,tt0063518
Ghost Ship,tt0288477
Kimi,tt14128670
The Many Saints Of Newark,tt8110232
The Wave,tt2304933
In The Heights,tt1321510
Ingrid Goes West,tt5962210
The Automat,tt4554690
Boy Interrupted,tt1327819
The Hobbit The Battle Of The Five Armies,tt2310332
The Rookie,tt0100514
Ghost,tt15326988
Shot Caller,tt4633690
The Seventh Seal,tt0050976
Big Daddy,tt0142342
Coffee And Cigarettes,tt0379217
Tusk,tt3099498
Rock Hudson All That Heaven Allowed,tt13514636
Project X,tt1636826
Batman Returns,tt0103776
Dr No,tt0055928
Deception,tt13613056
The Last Castle,tt0272020
The Spectacular Now,tt1714206
The Long Kiss Goodnight,tt0116908
Scary Movie 2,tt0257106
Experimenter,tt3726704
The Lord Of The Rings The Fellowship Of The Ring Extended Edition,tt21811588
A Christmas Story Christmas,tt17220704
For All Mankind,tt0097372
Eraser Reborn,tt15422240
The Janes,tt16377356
Tangerine,tt3824458
The Last Emperor,tt0093389
National Lampoons Vacation,tt0085995
Rebel Without A Cause,tt0048545
Valkyrie,tt0985699
The Heat,tt2404463
Elevator To The Gallows,tt0051378
Suicide Squad,tt1386697
007 Quantum Of Solace,MISSING
Irma Vep,tt13649314
The Nun,tt5814060
Lord Of Illusions,tt0113690
Scenes From A Marriage,tt12682218
Princess Mononoke,tt0119698
Neighbors,tt2004420
Beau Travail,tt0209933
Judas And The Black Messiah,tt9784798
9 To 5,tt18080088
Never Goin Back,tt7690016
Were All Going To The Worlds Fair,MISSING
Hannibal,tt0212985
The Brothers Bloom,tt0844286
The Long Good Friday,tt0081070
The Dreamers,tt0309987
Milk,tt1013753
White Chicks,tt0381707
Life After Beth,tt2581244
Piranha 3D,tt0464154
Garden State,tt0333766
Stephen Kings It,MISSING
Batman And Superman Battle Of The Super Sons,tt21197740
Overboard,tt0093693
Mannequin,tt0093493
Entourage,tt1674771
Too Big To Fail,tt1742683
300 2 Rise Of An Empire,MISSING
Chernobyl 86,MISSING
Pandoras Box,tt0285869
Wolf,tt10698174
The Lord Of The Rings 1 The Hobbit,MISSING
Scary Movie 3,tt0306047
The Rover,tt2345737
My Dinner With Andre,tt0082783
Crazy Not Insane,tt11668320
Oslo,tt11790674
The Haunting,tt0171363
The Faculty,tt0133751
I Tonya,tt5580036
Green Lantern Beware My Power,tt20192230
Rodan The Flying Monster,MISSING
Krisha,tt4266638
Night At The Museum Secret Of The Tomb,tt2692250
Gremlins 2,tt0099700
Chungking Express,tt0109424
Woodstock 99 Peace Love And Rage,tt15004156
The Bee Gees How Can You Mend A Broken Heart,tt9850386
Kill The Irishman,tt1416801
The Swamp,tt12762002
Superman,tt0078346
Roadrunner A Film About Anthony Bourdain,tt14512538
Belle The Dragon And The Freckled Princess,tt13651628
The Great Escape,tt0057115
Please Hold,tt12433466
Pieces Of April,tt0311648
Blended,tt1086772
Twin Peaks The Movie,MISSING
Fame,tt0080716
Dave,tt0106673
The Conjuring The Devil Made Me Do It,tt7069210
Batman 3 Batman Forever,MISSING
No Way Out,tt0093640
Dear Evan Hansen,tt9357050
Precious Based On The Novel Push By Sapphire,MISSING
Thinner,tt0117894
Outbreak,tt0114069
The Book Of Life,tt2262227
Julia,tt13782428
The Company Men,tt1172991
What Lies Beneath,tt0161081
Native Son,tt6566768
Horton Hears A Who,tt0451079
Batman 4 Batman And Robin,MISSING
Introducing Selma Blair,tt14030526
Europa Europa,tt0099776
Into The Forest,tt2625810
The Tale,tt4015500
Just Cause,tt0113501
Legion,tt1038686
Pretty In Pink,tt0091790
The Bridge On The River Kwai,tt0050212
The Men Who Stare At Goats,tt1234548
Cruising,tt0080569
Dreamer Inspired By A True Story,tt0418647
Time Bandits,tt0081633
The Matrix 2 Reloaded,MISSING
Jason Isbell Running With Our Eyes Closed,tt27219668
City Slickers 1,MISSING
Eraserhead,tt0074486
Locke,tt2692904
When We Were Bullies,tt13796488
The Art Of Self Defense,tt7339248
Hot Shots,tt0102059
Horrible Bosses 2,tt2170439
Game Of Thrones The Last Watch,tt10090796
007 Tomorrow Never Dies,tt10948298
The Monster,tt3976144
Heaven Help Us,tt0089264
The Texas Chainsaw Massacre 2,tt0092076
Identifying Features,tt11394282
Predator 2,tt0100403
The Father Of The Bride,tt0101862
Mr Mom,tt0085970
Mud,tt1935179
A Dangerous Method,tt1571222
Black Sheep,tt0115697
The Sea Of Trees,tt3450900
Eight And A Half,MISSING
Our Idiot Brother,tt1637706
The Last Cruise,tt13415790
Vegas Vacation,tt0120434
Along Came A Spider,tt0164334
The Matrix Revolutions,tt0242653
Paris Is Burning,tt0100332
The Texas Chainsaw Massacre,tt0324216
American Ultra,tt3316948
Ghost Dog The Way Of The Samurai,tt0165798
Rio 2,tt2357291
Cant Hardly Wait,MISSING
You Dont Know Jack,MISSING
Supergirl The Movie,tt0311875
Solyaris,tt0069293
Batman V Superman Dawn Of Justice,tt2975590
Let Me In,tt1228987
Scanners,tt0081455
Kurt Cobain Montage Of Heck,MISSING
Class Action Park,tt11015214
Jagged,tt14911244
Rock And A Hard Place,tt0124854
The Jacket,tt0366627
The Guilty,tt6742252
Mimic,tt0119675
Big Mommas House,tt0208003
Eight Legged Freaks,tt0271367
The B Side Elsa Dorfmans Portrait Photography,tt5952468
Bobs Burgers,MISSING
The Last Days On Mars,tt1709143
Red,tt0972883
Cry Macho,tt1924245
Rememory,tt2331047
Cats,tt5697572
1000 Me Growing Up Mixed,tt27561913
Witness Protection,tt2215285
Rookie Of The Year,tt0107985
So I Married An Axe Murderer,tt0108174
The Sentence,tt7689926
Street Gang How We Got To Sesame Street,tt5618690
Lemon,tt5973364
Bicycle Thieves,tt0040522
Four Hours At The Capitol,tt15520020
Mona Lisa,tt0091538
John Q,tt0251160
A Hard Days Night,tt0058182
Black Narcissus,tt0039192
Some Kind Of Wonderful,tt0094006
Slacker,tt0240900
Hot Summer Nights,tt3416536
The Dress,MISSING
Enter The Dragon,tt0070034
Moonraker,tt0079574
Daybreak,tt0106676
Jimi Plays Monterey,tt0093312
Crocodile Dundee,tt0090555
Persona,tt7920978
Tammy,tt2103254
Mississippi Grind,tt2349144
A Room With A View,tt0091867
Batman Mask Of The Phantasm,tt0106364
Support The Girls,tt6859352
Semi Pro,tt0839980
De Palma,tt1683048
In The Same Breath,tt13648230
The Other Woman,tt2203939
Diabolique,tt0046911
Push,tt0465580
The Leisure Seeker,tt3741632
Class Divide,tt5617554
The Painter And The Thief,tt11296058
Night And Fog,tt0048434
Lara Croft Tomb Raider The Cradle Of Life,tt0325703
Rising Sun,tt0107969
Piranha 3Dd,tt1714203
Showbiz Kids,tt3197274
The Hunter,tt0077416
High And Low,tt0057565
The Wife,tt3750872
The World According To Garp,tt0084917
The Purge Anarchy,tt2975578
The Taking Of Pelham One Two Three,tt0072251
Live Free Or Die Hard,tt0337978
Honeyland,tt8991268
Tom And Jerry,tt1361336
The Enemy Within,tt0109730
Catwoman Hunted,tt15248702
Leatherface,tt2620590
Have You Seen Andy,tt1299363
Sleepers,tt0117665
Alternate Endings Six New Ways To Die In America,tt10720098
O G,MISSING
,MISSING
What Happened On September 11,tt10920662
A Prayer Before Dawn,tt4080956
Heartbreakers,tt0125022
Scoob,tt3152592
The One,tt0267804
Precious Cargo,tt4651410
Johnny Dangerously,tt0087507
Blood Simple,tt0086979
Sans Arret,MISSING
White Eye,MISSING
Buffy The Vampire Slayer,tt0103893
The Karate Kid,tt0087538
Batman The Long Halloween Part Two,tt14402926
Trespass Against Us,tt3305308
From Hell La Vera Storia Di Jack Lo Squartatore,MISSING
Recount,tt1000771
No Sudden Move,tt11525644
Kiss The Girls,tt0119468
White God,tt2844798
The Survivor,tt9242528
Stagecoach,tt0031971
Call Me Miss Cleo,tt24443706
Belle,tt13651628
Green Lantern Fr,MISSING
Amazing Grace,tt4935462
Dolores Claiborne,tt0109642
Simple As Water,tt8923510
Son Of A Gun,tt2452200
Giant,tt0049261
Mamas Boy,tt14871116
Children Of A Lesser God,tt0090830
Life Of Crime 1984,tt15119154
Luce,tt7616148
Tampopo,tt0092048
Space Jam A New Legacy,tt3554046
Thunderball,tt0059800
The Final Year,tt7215444
Conduite Infernale,MISSING
Fallen Angels,tt0112913
Justice League Vs The Fatal Five,tt8752474
Ponyo,tt0876563
Rocknrolla,tt1032755
Batman The Long Halloween Part One,tt14324650
Without Warning The James Brady Story,tt0103275
Never Say Never Again,tt0086006
Absolute Power,tt0118548
Taken 3,tt2446042
Waynes World 2,tt0108525
Disclosure,tt0109635
Teen Wolf,tt0090142
School Life,tt0340331
Diamonds Are Forever,tt0066995
The Slow Hustle,tt14810616
Mermaids,tt0100140
One Nation Under Stress,tt10350078
Daredevil,tt0287978
I Am Love,tt1226236
The End Of The Tour,tt3416744
The Unborn,tt1139668
Master Of Light,tt17660502
Best Of Enemies,tt4807408
The Last Circus,tt1572491
Rashomon,tt0042876
The Spiderwick Chronicles,tt0416236
Crazy Heart,tt1263670
Police Academy 1 What An Institution,MISSING
Retour A Lecole,MISSING
Our Towns,tt0032881
Fake Famous,tt13890392
Robots,tt12579470
Very Ralph,tt10701384
The Fault In Our Stars,tt2582846
4 Little Girls,tt0118540
The Words That Built America,tt7370322
Cleopatra,tt0056937
Mommy Dead And Dearest,tt6442978
My So Called High School Rank,tt22260918
Osmosis Jones,tt0181739
Thanks For Sharing,tt1932718
Mikey And Nicky,tt0074901
38 At The Garden,tt19758560
