title,imdb_id
Coherence,tt2866360
Detachment,tt1683526
Dead Ringers,tt0094964
Train To Busan,tt5700672
The Endless,tt3986820
Burning,tt7282468
Triangle,tt1187064
Freaks,tt8781414
Vanishing On 7Th Street,tt1452628
Last Shift,tt2965466
Apocalypto,tt0472043
Hesher,tt1403177
I Saw The Devil,tt1588170
Glengarry Glen Ross,tt0104348
The Secret Life Of Pets,tt2709768
Emma,tt9214832
Party Girl,tt0114095
The Wailing,tt5215952
The Boondock Saints,tt0144117
Bronson,tt1172570
Come As You Are,tt6722726
Cashback,tt0460740
Above The Shadows,tt4622682
The Magic Pill,tt6035294
Filth,tt1450321
The Passion Of The Christ,tt0335345
The Ron Clark Story,tt0473389
The Invitation,tt2400463
The Illusionist,tt0443543
The Mandela Effect,tt6544220
Behind The Camera The Unauthorized Story Of Mork And Mindy,MISSING
Beyond The Black Rainbow,tt1534085
Sliding Doors,tt0120148
Stuck In Love,tt2205697
,MISSING
The Gangster The Cop The Devil,tt10208198
Gonjiam Haunted Asylum,tt8119752
The Act Of Killing,tt2375605
The Last Unicorn,tt0084237
The Sacrament,tt2383068
A Single Shot,tt1540741
My Friend Dahmer,tt2291540
Accident Man,tt6237612
International,tt0963178
Sophies Choice,tt0084707
Fatman,tt10310140
The Burning Plain,tt1068641
Rare Exports A Christmas Tale,MISSING
The Velocipastor,tt1843303
The Ambush,tt13445076
Freejack,tt0104299
He Dreams Of Giants,tt8591046
Europa Report,tt2051879
The Exorcist Iii,tt0099528
Highlander,tt0091203
The Changeling,tt0080516
Night Of The Living Dead,tt0063350
Wendy And Lucy,tt1152850
Serena,tt1247690
The Villainess,tt6777338
Hick,tt1205558
Samsara,tt0770802
Jabberwocky,tt0076221
Interstate 60,MISSING
The Truth About Emanuel,tt1838520
Blackthorn,tt1629705
The Perfect Host,tt1334553
Of The Dead,MISSING
The Visitor,tt15558152
Shuttle,tt0880648
Nosferatu The Vampyre,tt0079641
Monster,tt13207736
Final Girl,tt2124787
Black Christmas,tt0071222
Lucy Shimmers And The Prince Of Peace,tt11916254
Hammer Of The Gods,tt2193418
Psych 3 This Is Gus,tt14641648
Mk Ultra,tt7147158
White Settlers,tt2883352
They Came Together,tt2398249
Ip Man,tt1220719
Please Stand By,tt4652650
Atlas Shrugged Part I,tt0480239
Arthur Newman,tt1930546
The Woodsman,tt0361127
The Witch Part 1 The Subversion,tt8574252
Very Good Girls,tt1931602
Qt8 The First Eight,tt4329810
Marrowbone,tt5886440
It All Begins With A Song The Story Of The Nashville Songwriter,MISSING
Ip Man The Awakening,tt21028848
Living In Oblivion,tt0113677
April Apocalypse,tt2070604
Along With The Gods The Two Worlds,tt7160070
The Texas Chain Saw Massacre,tt0072271
Raging Fire,tt8165192
Ginger Snaps,tt0210070
Holy Hell,tt5278464
Outlander,tt0462465
The Humanity Bureau,tt6143568
The Wrecking Crew,tt1185418
A Royal Affair,tt1276419
Ashfall,tt11285908
Scotland Pa,tt0265713
Sleepaway Camp,tt0086320
June Again,tt9729768
Welcome To Me,tt2788716
The Love Witch,tt3908142
All Things Must Pass,tt3272570
Island Zero,tt5566778
Renegades,tt11696276
To The Stars,tt6886080
Quintessentially British,tt19586932
The Secret Of Moonacre,tt0396707
A Mile In His Shoes,tt1839390
Rigor Mortis,tt2771800
The Deal,tt0848281
The Final Countdown,tt0080736
Jiang Zi Ya Legend Of Deification,MISSING
Pure Grit,tt13930830
Sami Blood,tt5287168
Splinter,tt1031280
Young Detective Dee Rise Of The Sea Dragon,tt2992146
All Good Things,tt1175709
Gilbert,tt6495526
Yosemite,tt2992000
Born To Play,tt12615654
The House Of The Devil,tt1172994
Open 24 Hours,tt6521776
Harpoon,tt7831358
The Worlds Fastest Indian,tt0412080
The Infiltrator,tt1355631
Greater,tt2950418
Mindscape,tt9067240
We Need To Talk About Kevin,tt1242460
A Taxi Driver,tt6878038
Delicieux,tt10738536
Garfields Halloween Adventure,MISSING
Goon,tt1456635
Robins Wish,tt12763474
Dark Horse,tt1690455
Collisions,tt1349084
County Line,tt6243274
Honeymoon,tt3177316
Light In The Water,tt8184388
Story Game,tt8954352
Magic,tt0077889
I Give It A Year,tt2244901
The Cooler,tt0318374
The Man Standing Next,tt11358398
Prince Andrew Banished,tt21913162
Jack Frost,tt0141109
Gold,tt6020800
Good Neighbors,tt14349032
Otherlife,tt4693358
Animals,tt4426738
It Had To Be You,tt0139388
Open Windows,tt2409818
Deadheads,tt1273207
School Spirits,tt0089974
The Oranges,tt1313139
Passion Fish,tt0105107
Centurion,tt1020558
Ultimate Justice,tt4041476
Butchers,tt8764358
An American Werewolf In Paris,tt0118604
Rewind,tt8750702
A Garfield Christmas Special,MISSING
Giant Little Ones,tt4481066
Dont Hang Up,MISSING
Blood On Her Name,tt10085338
Here Are The Young Men,tt5598868
Ballet Shoes,tt1083845
Nemesis,tt0107668
Feels Good Man,tt11394182
Resistance,tt6914122
My Heart Cant Beat Unless You Tell It To,MISSING
