title,imdb_id
Everything Everywhere All At Once,tt6710474
The Fabelmans,tt14208870
Pearl,tt18925334
X,tt13560574
The Big Lebowski,tt0118715
Midsommar,tt8772262
Bodies Bodies Bodies,tt8110652
The Truman Show,tt0120382
Marcel The Shell With Shoes On,tt15339456
,MISSING
Dazed And Confused,tt0106677
Shutter Island,tt1130884
Se7En,tt0114369
Annihilation,tt2798920
Close,tt9660502
Zodiac,tt0443706
The Lighthouse,tt7984734
Face Off,tt0119094
Fargo,tt0116282
Uncut Gems,tt5727208
Becky,tt10314450
Pleasure,tt8550054
Men,tt13841850
Major League,tt0097815
Chinatown,tt0071315
All Day Long,MISSING
Bridge Of Spies,tt3682448
La Chaqueta Metalica,MISSING
Les Gangs De New York,MISSING
Under The Silver Lake,tt5691670
City Of God,tt0317248
Snowpiercer,tt1706620
Shooter,tt0822854
Lady Bird,tt4925292
Mileage My Life,MISSING
The Killing Of A Sacred Deer,tt5715874
Wargames,tt0086567
The Talented Mr Ripley,tt0134119
Youre Killing Me,MISSING
Margin Call,tt1615147
Primal Fear,tt0117381
The Jerk,tt0079367
The King Of Comedy,tt0085794
Road To Perdition,tt0257044
The Inspection,tt13495458
Misery Stephen King,MISSING
Bringing Out The Dead,tt0163988
Dances With Wolves,tt0099348
3 Days To Kill,tt2172934
The Lovely Bones,tt0380510
Inside Llewyn Davis,tt2042568
Old Henry,tt12731980
Source Code,tt0945513
Existenz,MISSING
Leaving Las Vegas,tt0113627
Le Jeu Du Defi,MISSING
1Super8,MISSING
Boyhood,tt1065073
View From The Top,tt0264150
Big Night,tt0115678
Shes All That,MISSING
Begin Again,tt1980929
Stillwater,tt10696896
Lamb,tt9812474
The Florida Project,tt5649144
Pride,tt3169706
Valley Girl,tt0086525
The Disaster Artist,tt3521126
Climax,tt8359848
Seabiscuit,tt0329575
Friday The 13Th,tt0080761
Muriels Wedding,tt0110598
A Little Game,tt2276480
Bandit,tt9853500
American Cherry,tt10414276
Logan Lucky,tt5439796
Jason X,tt0211443
Good Time,tt4846232
A Ghost Story,tt6265828
Personality Crisis One Night Only,tt12667838
2Nd Chance,tt2150139
Gods And Monsters,tt0120684
Hit The Road,tt14812782
The Conversation,tt0071360
The Warriors,tt0080120
April Fools Day,tt0090655
Little Darlings,tt0081060
Dio Dreamers Never Die,tt11851698
Red Rocket,tt13453006
Michael Moore Sicko,MISSING
Carrie,tt0074285
Victoria,tt4226388
The Good Boss,tt13066182
Mona Lisa And The Blood Moon,tt8760670
Witness,tt0090329
The Bling Ring,tt2132285
Saturday Night Fever,tt0076666
Meet Me In The Bathroom,tt16378298
Murina,tt8434110
Serpico,tt0070666
The Sunlit Night,tt8368394
Fyra Brollop Och En Begravning,MISSING
High Life,tt4827558
Le Passeur,tt1537846
Defiance,tt1034303
Days Of Thunder,tt0099371
The Parallax View,tt0071970
Dead For A Dollar,tt14895206
In Fabric,tt7464188
A Love Song,tt12691830
Beanpole,tt10199640
Run And Gun,MISSING
Anvil The Story Of Anvil,tt1157605
Nothing Compares,tt10196368
Friday The 13Th Part 2,tt0082418
Boy,tt3318220
The Watermelon Woman,tt0118125
