title,imdb_id
Spider Man No Way Home,tt10872600
The Unbearable Weight Of Massive Talent,tt11291274
Once Upon A Time In Hollywood,tt7131622
Venom Let There Be Carnage,tt7097896
Fall,tt15325794
Guardians Of The Galaxy,tt2015381
Spider Man Far From Home,tt6320628
Absolutely Anything,tt1727770
Alien,tt0078748
The Equalizer,tt0455944
Ghostbusters Afterlife,tt4513678
The Sandlot,tt0108037
Aliens,tt0078748
Jumanji The Next Level,tt7975244
Children Of Men,tt0206634
Steve Jobs,tt2080374
Scream 4,tt1262416
In Bruges,tt0780536
Little Women,tt3281548
The Game,tt0119174
Fury,tt2713180
The Amazing Spider Man 2 Rise Of Electro,MISSING
Raising Arizona,tt0093822
The Devils Light,tt2577584
Mrs Doubtfire,tt0107614
Clerks Iii,tt11128440
Taken,tt0936501
Die Hard,tt0095016
Planet Of The Apes,tt0063442
Zombieland Double Tap,tt1560220
Silver Linings Playbook,tt1045658
Tinker Tailor Soldier Spy,tt1340800
Homefront,tt2312718
Zero Dark Thirty,tt1790885
Super Troopers,tt0247745
Escape Room 2,MISSING
22 Jump Street,tt2294449
X Men,tt0120903
The Thin Red Line,tt0120863
Home Alone,tt0099785
Independence Day,tt0116629
T2 Trainspotting,tt2763304
Scent Of A Woman,tt0105323
X Men First Class,tt1270798
Life,tt5442430
Movie 43,tt1333125
Side Effects,tt2053463
Freres,MISSING
Vice,tt6266538
Wild Tales,tt3011894
Equilibrium,tt0238380
The Beach,tt0163978
Paranorman,tt1623288
Alien3,MISSING
Beneath The Planet Of The Apes,tt0065462
Never Let Me Go,tt1334260
The Man Who Invented Christmas,tt6225520
Men In Black International,tt2283336
Ferngully The Last Rainforest,tt0104254
Home Alone 2 Lost In New York,tt0104431
Saw,tt0387564
Dont Breathe 2,MISSING
Arlington Road,tt0137363
Die Hard 2,tt0099423
Night Of The Living Dead,tt0063350
Bad Boys For Life,tt1502397
Bloodshot,tt1634106
Nine Days,tt10451852
Free Birds,tt1621039
Roman J Israel Esq,tt6000478
Black Friday,tt11649338
The Family Stone,tt0356680
Paper Man,tt0437405
Colombiana,tt1657507
Elle,tt3716530
Siberia,tt6494418
When The Game Stands Tall,tt2247476
David Crosby Remember My Name,tt5884004
Small Apartments,tt1272886
Overcomer,tt8186318
Brimstone,tt1895315
The Next Three Days,tt1458175
Dog Soldiers,tt0280609
Capernaum,tt8267604
Munich,tt0408306
Die Hard 3,MISSING
Ali,tt0248667
Fantasy Island,tt0983946
Charlies Angels,MISSING
Charming The Hearts Of Men,tt7868082
Cabin Fever,tt0303816
Avp Alien Vs Predator,tt0370263
12 Mighty Orphans,tt8482584
Elizabeth,tt0127536
Mystery Men,tt0132347
Death Sentence,tt0804461
Waitress,tt0473308
